layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,shape_source,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg,fakeq_err_before,fakeq_err_after,fakeq_err_delta,fakeq_err_gain_pct
0,0,34,68,69,2.1389419320163325,0.2002300985546812,0.10546743580964227,0.5540028214454651,0.5021813887514849,-3.1215199037591286,-2.6051168157262,1.2836112429334516,0.8553306890828809,2.2101301509656386,0.07486738343143863,0.07569549701120372,0.5611297488212585,0.4254381315955577,-2.179940779946129,1.7249634882246254,1.1877984062057205,1.0223317447599178,0.9415791238129998,1.1884876503610327,isotropic_scatter,post,post_mean,already_diagonal,-2.179940779946129,-124.90140627937011,0.17625371024621606,10.098593720629895,0.6091444531512322,34.90140627937011,-2.356194490192345,-135.0,-0.17625371024621606,-10.098593720629895,7.0557179624,7.0550553489,0.0006626135,0.009391
0,0,35,70,71,1.9032418121346923,0.15031393347508468,0.10974918860335776,0.5717045068740845,0.4843858578982532,-0.6976363004237405,3.049570529990001,1.0946627876355282,0.8085790244991641,1.944543936660737,0.09621296419045858,0.09042978098596222,0.5620611906051636,0.43968991405326213,0.08705299930880836,0.8176871636328359,1.065817136402773,0.878726800257964,0.7846892997325489,0.9097092872326283,isotropic_scatter,post,post_mean,axis_like,0.08705299930880836,4.9877694543499915,0.6983451640886399,40.012230545650006,0.08705299930880836,4.9877694543499915,0.7853981633974483,45.0,0.6983451640886399,40.012230545650006,7.0557179624,7.0538671664,0.0018507960,0.026231
0,0,36,72,73,1.234273767882042,0.1768809340159024,0.036400552184925036,0.5100701451301575,0.21592924397127874,2.430216469982397,2.7780705783760946,0.7262966323882608,0.5079771354937812,1.2411956315699264,0.132489240380795,0.030996482328697183,0.5665519833564758,0.19925702760922925,3.0668873434642276,-2.8679418054602452,0.7028203489803597,0.5383752825895666,0.6366708734818305,0.637172923343247,isotropic_scatter,post,post_mean,axis_like,3.0668873434642276,175.71970102258916,0.7106928532718828,40.71970102258916,0.07470531012556547,4.280298977410836,2.356194490192345,135.0,-0.7106928532718828,-40.71970102258916,7.0557179624,7.0539611763,0.0017567862,0.024899
0,0,39,78,79,0.19309394722586298,0.9867970340524119,0.9947685672226906,0.07553589344024658,6.059475483383925,1.5313402635131146,1.4960070118678324,0.19181924082140217,0.0012747064044608177,1.6204973764326498,0.7563721503799337,0.9560963753131889,0.4555623531341553,5.940524802164985,1.876004365328288,-2.832685528890821,1.4230982308654052,0.19739914556724467,0.34466410181517343,1.1870998871688598,elongated,post,post_mean,intermediate,1.876004365328288,107.48713248142953,0.48019012486405677,27.512867518570467,0.3052080385333915,17.487132481429533,2.356194490192345,135.0,0.48019012486405677,27.512867518570467,7.0557179624,6.5148353308,0.5408826317,7.665877
0,0,41,82,83,0.8756675629229962,0.2303536863955437,0.4075559009226782,0.5181504487991333,0.7761390505449461,-1.090164284898193,-2.77825007243614,0.5386904070497702,0.33697715587322596,0.8875336165903187,0.23338582136870845,0.39952771240320273,0.5028576254844666,0.7684566541531537,-0.8606104005162505,-2.5521168371443474,0.547335689345412,0.3401979272449067,0.22955388438194246,0.22613323529179263,isotropic_scatter,post,post_mean,already_diagonal,-0.8606104005162505,-49.30934375464456,0.0752122371188022,4.309343754644558,0.7101859262786461,40.69065624535544,-0.7853981633974483,-45.0,0.0752122371188022,4.309343754644558,7.0557179624,7.0517128350,0.0040051275,0.056764
0,0,42,84,85,0.08517248752935933,0.9295156468705181,0.9829668965817046,0.39986974000930786,2.2170333198693983,2.8985173116582623,3.0388931073500425,0.08217082368585621,0.0030016638435031223,0.1413341887576209,0.19835980521515056,0.9717354733421948,0.18458998203277588,2.2043308835525655,3.084731975680314,-2.779743080920468,0.08468460545501114,0.05664958330260977,0.18621466402205167,0.4645491189090765,compact_cluster,post,post_mean,axis_like,3.084731975680314,176.7421231355341,0.7285374854879691,41.742123135534094,0.05686067790947913,3.257876864465907,2.356194490192345,135.0,-0.7285374854879691,-41.742123135534094,7.0557179624,7.0552948290,0.0004231334,0.005997
0,0,43,86,87,1.5179196511633375,0.4366541069461581,0.10028906363528321,0.5648369193077087,0.4113388032368955,1.8510664690875214,1.0475919669910698,1.0903627504292626,0.42755690073407493,1.519032798295771,0.43063990157083515,0.09962921246139884,0.5585042834281921,0.409983356128974,2.0022425007521503,1.1954914969050958,1.0865944665185814,0.4324383317771896,0.15117603166462887,0.147899529914026,isotropic_scatter,post,post_mean,intermediate,2.0022425007521503,114.72004485481777,0.35395198944019457,20.27995514518223,0.43144617395725376,24.720044854817772,2.356194490192345,135.0,0.35395198944019457,20.27995514518223,7.0557179624,7.0491001929,0.0066177695,0.093793
0,0,44,88,89,0.15061594937327613,0.6530325232448506,0.8745289024197602,0.7726897597312927,1.0245914249132506,0.8621116612733545,1.610024441618783,0.12448653141703918,0.026129417956236953,0.15579884186549095,0.6206377810600675,0.870211271031044,0.7016782164573669,1.0220590187107967,0.9855397711168071,1.759689474435644,0.12624674468661912,0.029552097178871823,0.12342810984345265,0.14966503281686094,isotropic_scatter,post,post_mean,already_diagonal,0.9855397711168071,56.4672694272822,0.20014160771935885,11.467269427282199,0.5852565556780894,33.5327305727178,0.7853981633974483,45.0,-0.20014160771935885,-11.467269427282199,7.0557179624,7.0163321876,0.0393857749,0.558211
0,0,45,90,91,0.20998638495447375,0.7738238524964859,0.858294834298392,0.6588473320007324,1.1277711401110397,2.6457482805092893,2.0649935417103227,0.1862394291662643,0.02374695578820945,0.2148312489460274,0.7421367765080318,0.8550253664666667,0.5805642008781433,1.1256210768413202,2.7464515699776815,2.150489187651616,0.1871327097663844,0.027698539179642986,0.10070328946839213,0.0854956459412932,elongated,post,post_mean,intermediate,2.7464515699776815,157.36008359680002,0.3902570797853366,22.36008359680002,0.39514108361211164,22.639916403199976,2.356194490192345,135.0,-0.3902570797853366,-22.36008359680002,7.0557179624,7.0348550968,0.0208628657,0.295687
0,0,48,96,97,0.4227566154222003,0.49144389006640654,0.7240311450341427,0.6694605946540833,1.0531586386893637,-0.6922138077253286,2.8249706514543957,0.3152588855285428,0.10749772989365747,0.423538648037706,0.4886979319525621,0.7235206415702451,0.6509941220283508,1.0527872807391303,-0.6375830323008448,2.881382877371253,0.3152605547181029,0.10827809331960317,0.0546307754244838,0.05641222591685713,isotropic_scatter,post,post_mean,already_diagonal,-0.6375830323008448,-36.53081683999165,0.1478151310966035,8.469183160008352,0.6375830323008448,36.53081683999165,-0.7853981633974483,-45.0,-0.1478151310966035,-8.469183160008352,7.0557179624,7.0485908681,0.0071270943,0.101012
0,0,50,100,101,0.22802225299147078,0.29379091986694855,0.8742647780444736,0.7888472080230713,1.2591620642384111,-0.7257530054913715,2.103300820175452,0.14750656022413142,0.08051569276733936,0.2287143095344522,0.2897141025395606,0.8738831653996775,0.7764133810997009,1.258887218562489,-0.6896485100898897,2.1367142221017215,0.1474880352297355,0.0812262743047167,0.03610449540148175,0.033413401926269515,compact_cluster,post,post_mean,already_diagonal,-0.6896485100898897,-39.51394897563605,0.09574965330755858,5.48605102436395,0.6896485100898897,39.51394897563605,-0.7853981633974483,-45.0,-0.09574965330755858,-5.48605102436395,7.0557179624,7.0527024251,0.0030155373,0.042739
0,0,52,104,105,0.22321938848975853,0.7666758895451568,0.893524246390162,0.7920715808868408,1.3686543014684864,2.4641559726287947,1.908070562894815,0.19717815586231838,0.02604123262744016,0.22362789759861476,0.7642680375186529,0.8933293911200717,0.777581512928009,1.3685050828784324,2.488139133856248,1.93050549212065,0.1972697760157473,0.02635812158286747,0.023983161227453476,0.02243492922583501,elongated,post,post_mean,already_diagonal,2.488139133856248,142.55987121129922,0.13194464366390335,7.559871211299221,0.6534535197335449,37.440128788700775,2.356194490192345,135.0,-0.13194464366390335,-7.559871211299221,7.0557179624,7.0432502486,0.0124677138,0.176704
0,0,56,112,113,1.0081635430078577,0.5267901741642171,0.5818058091879049,0.6430417895317078,1.184310345465858,0.7649514812829082,1.1932484362282243,0.769627095707754,0.23853644730010362,1.0081546099660517,0.5267382691398207,0.5818095431942749,0.6413411498069763,1.184314186258272,0.7755116410559042,1.2036578967303508,0.7695941121227138,0.23856049784333794,0.010560159772995958,0.010409460502126544,isotropic_scatter,post,post_mean,already_diagonal,0.7755116410559042,44.43354399576773,0.009886522341544081,0.566456004232272,0.7755116410559042,44.43354399576773,0.7853981633974483,45.0,0.009886522341544081,0.566456004232272,7.0557179624,7.0555290648,0.0001888976,0.002677
0,0,58,116,117,0.648859436293,0.8285628017367981,0.6094786582505959,0.6151187419891357,1.0063109014407075,1.806788151368322,-3.0771368473838705,0.5932401143810581,0.05561932191194202,0.6489443494325464,0.8285760010464642,0.6094275716700973,0.6147675514221191,1.0062687505865127,1.8138021574946535,-3.0701364982923627,0.5933220316939468,0.05562231773859955,0.007014006126331518,0.007000349091507818,elongated,post,post_mean,axis_like,1.8138021574946535,103.92320849616668,0.5423923326976914,31.076791503833316,0.24300583069975687,13.923208496166682,2.356194490192345,135.0,0.5423923326976914,31.076791503833316,7.0557179624,7.0539979706,0.0017199918,0.024377
0,0,59,118,119,0.8991950751170346,0.6318788960839246,0.5435281892309025,0.5870965123176575,1.0347394682993623,1.383522080981515,-2.79867691592053,0.7336887332733599,0.16550634184367458,0.8992987684301941,0.6318374258674463,0.5434755629336118,0.5880122184753418,1.0346893883720625,1.3892012046608577,-2.793132076355878,0.7337546936807622,0.16554407474943192,0.005679123679342757,0.0055448395646520154,isotropic_scatter,post,post_mean,axis_like,1.3892012046608577,79.59536592155686,0.6038030412634094,34.595365921556855,0.18159512213403883,10.404634078443145,0.7853981633974483,45.0,-0.6038030412634094,-34.595365921556855,7.0557179624,7.0535016616,0.0022163008,0.031411
0,0,62,124,125,0.6775403353119513,0.8143239001695547,0.7509525637160726,0.7023530602455139,1.4293309302262747,-2.3019412787484894,-3.088327168008848,0.6146388118430909,0.06290152346886047,0.6775492036203831,0.8143719947539254,0.7509492973156809,0.7030450105667114,1.4293278026495544,-2.2988621334349615,-3.0852528404023416,0.6146631500587312,0.06288605356165193,0.003079145313527931,0.0030743276065066105,elongated,post,post_mean,already_diagonal,-2.2988621334349615,-131.7150979282636,0.05733235675738335,3.2849020717364117,0.7280658066400649,41.71509792826359,-2.356194490192345,-135.0,-0.05733235675738335,-3.2849020717364117,7.0557179624,7.0495400665,0.0061778959,0.087559
0,0,63,126,127,0.12798407671205397,0.5103474052267353,0.9464985941951989,0.8995134830474854,1.504718843516824,-2.369376321957291,0.9230996808911714,0.09665020908645025,0.031333867625603716,0.1279880981493028,0.5102475518753535,0.9464969109086906,0.8999536633491516,1.5047174745838825,-2.366866238158551,0.9254489154664054,0.09664685594983863,0.031341242199464166,0.0025100837987399598,0.0023492345752339494,compact_cluster,post,post_mean,already_diagonal,-2.366866238158551,-135.61144611849093,0.01067174796620618,0.611446118490934,0.7747264154312428,44.388553881509104,-2.356194490192345,-135.0,0.01067174796620618,0.611446118490934,7.0557179624,7.0548557735,0.0008621889,0.012220
0,1,32,64,65,0.7711197848860039,0.2461246590054715,0.004947401071968173,0.5273518562316895,0.06191936063788871,-2.928600915187442,-2.6869920715055207,0.4804556894968451,0.2906640953891587,0.77253078380325,0.021980397678954725,0.0031264971301696452,0.5646793246269226,0.04922286499721941,-1.3097411294694898,2.098850394131542,0.394755658825251,0.377775124977999,1.6188597857179523,1.4973428415425236,isotropic_scatter,post,post_mean,axis_like,-1.3097411294694898,-75.0426389732993,0.5243429660720416,30.042638973299297,0.2610551973254067,14.957361026700701,-0.7853981633974483,-45.0,0.5243429660720416,30.042638973299297,8.0182665574,8.0168117721,0.0014547853,0.018143
0,1,38,76,77,2.7447184482288467,0.9811608019030259,0.916139227985102,0.08220398426055908,5.475833222585388,-1.5676184082947677,1.691524857450999,2.718864300946036,0.025854147282810692,4.488919615809184,0.19459753952508274,0.8628477452167046,0.5794142484664917,5.314183206037135,-1.143563188196109,2.3923750830909527,2.681226164085863,1.8076934517233212,0.42405522009865876,0.7008502256399538,isotropic_scatter,post,post_mean,intermediate,-1.143563188196109,-65.52134429016172,0.3581650247986608,20.521344290161732,0.4272331385987875,24.478655709838268,-0.7853981633974483,-45.0,0.3581650247986608,20.521344290161732,8.0182665574,7.9656645391,0.0526020182,0.656027
0,1,39,78,79,0.6898321812438474,0.9430594361171568,0.9868214580047215,0.06043589115142822,7.187160363463906,3.1221415779457944,2.9208263203487705,0.6701924645520407,0.019639716691806666,2.704570455775965,0.534239769888144,0.9483319263313162,0.48366695642471313,7.045603524003047,-2.81656749323744,1.9825307363547895,2.0747297768582618,0.6298406789177031,0.3444762359963518,0.938295583993981,elongated,post,post_mean,intermediate,-2.81656749323744,-161.37743007624735,0.460373003045095,26.37743007624734,0.325025160352354,18.622569923752703,-2.356194490192345,-135.0,0.460373003045095,26.37743007624734,8.0182665574,6.7375878064,1.2806787510,15.972015
