layer,head,pair,suggested_alpha_deg,base_pair_stat,base_k_scale,rot_dim_stat0,rot_dim_stat1,base_scaled_dim0,base_scaled_dim1,residual_gamma,final_dim0,final_dim1,dominant_channel
0,0,32,24.90747824624061,3.9261622428894043,2.0376131970828877,3.9187281131744385,3.905395269393921,7.98485211918396,7.957684940742133,1.0018970771894005,8.0,7.972781283323651,0
0,0,33,-21.69598067005248,6.9463725090026855,1.1516802460034765,6.789820671081543,6.802034378051758,7.819702340790681,7.833768625838752,1.0212198473175418,7.985635230530884,8.0,1
0,0,34,-10.098593720629895,5.74285364151001,1.3930356751868227,5.693954944610596,5.699263095855713,7.931882370748969,7.939276814802704,1.0076484529528027,7.9925489998888075,8.0,1
0,0,35,40.012230545650006,5.655679225921631,1.4145073792964886,4.7636566162109375,5.6211934089660645,6.738227436064912,7.951219557435283,1.0061349636005337,6.779566216117288,7.999999999999999,1
0,0,36,-40.71970102258916,5.070428848266602,1.5777758133288695,4.839221000671387,4.997278690338135,7.635205850212443,7.884585450079278,1.014637998491038,7.746969981926617,7.999999999999999,1
0,0,37,38.21606195688152,4.1458916664123535,1.929621090876887,3.995797872543335,3.3765766620635986,7.710375849740614,6.5155135420805985,1.0375629095005958,8.0,6.760255187611679,0
0,0,38,22.688722009855024,5.8341965675354,1.3712256533343925,5.43152379989624,5.466536521911621,7.447844771114024,7.495855113734581,1.0672564875675998,7.948760650367868,8.0,1
0,0,39,27.512867518570467,7.263450622558594,1.1014048853245941,6.442903995513916,6.489950656890869,7.096245936336374,7.148063359015162,1.1191842598751411,7.942006756150603,7.999999999999999,1
0,0,40,34.29042826717933,4.484207630157471,1.784038710919161,3.9071602821350098,3.862243890762329,6.970525193094689,6.890392612131031,1.147689704633039,8.0,7.908032661822337,0
0,0,41,4.309343754644558,2.7845911979675293,2.8729531307285585,2.364976167678833,2.770007371902466,6.794465685031332,7.958101351248375,1.0052649051453777,6.830237902376545,8.0,1
0,0,42,-41.742123135534094,3.1864094734191895,2.5106628845838723,2.656318187713623,2.5929291248321533,6.669119483537689,6.509970916072629,1.1995586553438586,7.999999999999999,7.809091958411711,0
0,0,43,20.27995514518223,3.9246859550476074,2.038379654227126,2.471498966217041,3.320078134536743,5.037853208180192,6.767579719884049,1.1821065035251725,5.95527904119496,8.0,1
