layer,head,pair,suggested_alpha_deg,base_pair_stat,base_k_scale,rot_dim_stat0,rot_dim_stat1,base_scaled_dim0,base_scaled_dim1,base_channel_ratio,apply_gamma,gamma_raw,residual_gamma,final_dim0,final_dim1,dominant_channel
0,0,32,24.90747824624061,3.9261622428894043,2.0376131970828877,3.9187281131744385,3.905395269393921,7.98485211918396,7.957684940742133,0.9965976604154563,1,1.0,1.0,7.98485211918396,7.957684940742133,0
0,0,33,-21.69598067005248,6.9463725090026855,1.1516802460034765,6.789820671081543,6.802034378051758,7.819702340790681,7.833768625838752,0.9982044038163604,1,1.0,1.0,7.819702340790681,7.833768625838752,1
0,0,34,-10.098593720629895,5.74285364151001,1.3930356751868227,5.693954944610596,5.699263095855713,7.931882370748969,7.939276814802704,0.999068624986101,1,1.0,1.0,7.931882370748969,7.939276814802704,1
0,0,35,40.012230545650006,5.655679225921631,1.4145073792964886,4.7636566162109375,5.6211934089660645,6.738227436064912,7.951219557435283,0.8474457770146611,0,1.0,1.0,6.738227436064912,7.951219557435283,1
0,0,36,-40.71970102258916,5.070428848266602,1.5777758133288695,4.839221000671387,4.997278690338135,7.635205850212443,7.884585450079278,0.9683712477408273,1,1.0,1.0,7.635205850212443,7.884585450079278,1
0,0,37,38.21606195688152,4.1458916664123535,1.929621090876887,3.995797872543335,3.3765766620635986,7.710375849740614,6.5155135420805985,0.8450318984514598,0,1.0,1.0,7.710375849740614,6.5155135420805985,0
0,0,38,22.688722009855024,5.8341965675354,1.3712256533343925,5.43152379989624,5.466536521911621,7.447844771114024,7.495855113734581,0.9935950812959835,1,1.0,1.0,7.447844771114024,7.495855113734581,1
0,0,39,27.512867518570467,7.263450622558594,1.1014048853245941,6.442903995513916,6.489950656890869,7.096245936336374,7.148063359015162,0.9927508445188254,1,1.0,1.0,7.096245936336374,7.148063359015162,1
0,0,40,34.29042826717933,4.484207630157471,1.784038710919161,3.9071602821350098,3.862243890762329,6.970525193094689,6.890392612131031,0.988504082727792,1,1.0,1.0,6.970525193094689,6.890392612131031,0
0,0,41,4.309343754644558,2.7845911979675293,2.8729531307285585,2.364976167678833,2.770007371902466,6.794465685031332,7.958101351248375,0.8537797377970682,0,1.0,1.0,6.794465685031332,7.958101351248375,1
0,0,42,-41.742123135534094,3.1864094734191895,2.5106628845838723,2.656318187713623,2.5929291248321533,6.669119483537689,6.509970916072629,0.9761364948014639,1,1.0,1.0,6.669119483537689,6.509970916072629,0
0,0,43,20.27995514518223,3.9246859550476074,2.038379654227126,2.471498966217041,3.320078134536743,5.037853208180192,6.767579719884049,0.74440988014937,0,1.0,1.0,5.037853208180192,6.767579719884049,1
0,0,44,-11.467269427282199,2.181617259979248,3.667004358077043,1.3656730651855469,2.0430402755737305,5.007929081743834,7.491837594255792,0.6684513670696168,0,1.0,1.0,5.007929081743834,7.491837594255792,1
0,0,45,-22.36008359680002,2.3557350635528564,3.3959676212207897,1.5456368923187256,2.0665478706359863,5.248932840478717,7.017929656382579,0.7479318114431345,0,1.0,1.0,5.248932840478717,7.017929656382579,1
0,0,46,-8.038416116252815,3.100137948989868,2.580530328531566,2.1376445293426514,2.9630768299102783,5.516256539588297,7.646309625352641,0.7214273041335142,0,1.0,1.0,5.516256539588297,7.646309625352641,1
0,0,47,-14.151375850579411,2.944040298461914,2.717354108291087,2.450575590133667,2.205808639526367,6.659081647527575,5.993963168720947,0.9001185878155471,1,1.0,1.0,6.659081647527575,5.993963168720947,0
0,0,48,-8.469183160008352,2.6897244453430176,2.9742823707652213,2.684941291809082,1.959081768989563,7.985773550767353,5.826862368393201,0.7296553466424424,0,1.0,1.0,7.985773550767353,5.826862368393201,0
0,0,49,-11.835571773920702,2.842766046524048,2.814160528539409,2.26688551902771,2.1964075565338135,6.379379750365352,6.181043450183148,0.968909783091241,1,1.0189078334187176,1.0018907833418718,6.391441775328817,6.192730464174139,0
0,0,50,-5.48605102436395,2.8506019115448,2.8064248352603665,1.9796580076217651,2.242680311203003,5.555761397911778,6.293913722909555,0.8827196625986566,0,1.0327437404075466,1.0,5.555761397911778,6.293913722909555,1
0,0,51,-2.1979937858238685,3.2594871520996094,2.4543738406352587,2.850203514099121,2.7196738719940186,6.9954649454915705,6.675096406481324,0.9542033958419422,1,1.0,1.0,6.9954649454915705,6.675096406481324,0
0,0,52,-7.559871211299221,2.683427572250366,2.981261757436244,1.6871381998062134,2.371596097946167,5.029800594592093,7.070348750891928,0.7113935637131875,0,1.0,1.0,5.029800594592093,7.070348750891928,1
0,0,53,-4.4963634474816985,2.9938526153564453,2.672142228700703,1.7864488363265991,2.7106099128723145,4.773645374961536,7.243135213720844,0.6590578850328108,0,1.0,1.0,4.773645374961536,7.243135213720844,1
0,0,54,-0.5864952161529869,3.343291997909546,2.3928511194960373,2.1780881881713867,3.2042312622070312,5.211840759426998,7.667248362896295,0.6797537412050431,0,1.0,1.0,5.211840759426998,7.667248362896295,1
0,0,55,-1.881683099537467,2.8202788829803467,2.8365989081001635,2.4473037719726562,1.8160405158996582,6.942019207367048,5.151378544466628,0.7420576622720739,0,1.0,1.0,6.942019207367048,5.151378544466628,0
0,0,56,0.566456004232272,3.676417589187622,2.1760313691045527,2.528679132461548,3.6565375328063965,5.502485114636415,7.9567403736948865,0.6915501645407107,0,1.0,1.0,5.502485114636415,7.9567403736948865,1
0,0,57,-5.192581646951956,3.6749935150146484,2.1768745896598167,3.4734230041503906,1.8576048612594604,7.56120627687485,4.043772820104269,0.5348052509123736,0,1.0,1.0,7.56120627687485,4.043772820104269,0
0,0,58,31.076791503833316,2.768003463745117,2.8901697937819684,2.7602882385253906,2.1644554138183594,7.977701689117721,6.255643657005673,0.7841410848363652,0,1.0,1.0,7.977701689117721,6.255643657005673,0
0,0,59,-34.595365921556855,3.33331561088562,2.4000127602301964,3.285020351409912,2.24415922164917,7.884090760999673,5.386010767946273,0.6831492598473521,0,1.0,1.0,7.884090760999673,5.386010767946273,0
0,0,60,-13.961901563937186,3.2885842323303223,2.4326577745375624,3.2783217430114746,2.3949127197265625,7.975034875572396,5.826003046981721,0.730530102736832,0,1.0,1.0,7.975034875572396,5.826003046981721,0
