layer,head,bucket_index,bucket_pair_lo,bucket_pair_hi,bucket_pairs,base_alpha,chosen_bucket_alpha,residual_gamma,head_fakeq_err_before,head_fakeq_err_after,head_fakeq_err_delta,head_fakeq_err_gain_pct
0,7,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,7.687227288821241,7.67933796890687,0.007889319914371029,0.10262894042229857
0,7,2,48,55,"48,49,50,51,52,53,54,55",8.0,6.400000095367432,0.800000011920929,7.687227288821241,7.636031133754424,0.051196155066816296,0.6659898705124239
0,7,3,56,63,"56,57,58,59,60,61,62,63",8.0,7.199999809265137,0.8999999761581421,7.687227288821241,7.663991825366594,0.023235463454646776,0.30226065370066224
1,0,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,6.712645598699524,6.557556013155832,0.155089585543692,2.3104092606011903
1,0,1,40,47,"40,41,42,43,44,45,46,47",8.0,6.400000095367432,0.800000011920929,6.712645598699524,6.636325871890992,0.07631972680853227,1.1369545090138244
1,0,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,6.712645598699524,6.649659115209533,0.0629864834899907,0.9383257698305032
1,0,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,6.712645598699524,6.674709389398293,0.03793620930123076,0.5651454220759151
1,1,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,6.196584718696612,6.165670271896814,0.030914446799798156,0.4988949268541703
1,1,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,6.196584718696612,6.0654412449531705,0.1311434737434416,2.116383131949276
1,1,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,6.196584718696612,6.082544163646122,0.11404055505049016,1.8403775664746727
1,1,3,56,63,"56,57,58,59,60,61,62,63",8.0,6.400000095367432,0.800000011920929,6.196584718696612,6.134680140149419,0.061904578547193445,0.9990112514787732
1,2,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,7.89855067958023,7.728510643073784,0.17004003650644517,2.1528004744723876
