layer,head,pair,suggested_alpha_deg,base_pair_stat,base_k_scale,rot_dim_stat0,rot_dim_stat1,base_scaled_dim0,base_scaled_dim1,residual_gamma,final_dim0,final_dim1,dominant_channel
0,0,32,24.90747824624061,3.9261622428894043,2.0376131970828877,3.048715829849243,3.0494518280029297,6.212103609056325,6.213603288607306,1.2874977092065192,7.998069166013569,8.0,1
0,0,33,-21.69598067005248,6.9463725090026855,1.1516802460034765,6.251888275146484,6.223903179168701,7.200176226706954,7.167946344486829,1.1110839162972614,8.0,7.9641898962410655,0
0,0,34,-10.098593720629895,5.74285364151001,1.3930356751868227,4.473020553588867,4.498786926269531,6.231077206993203,6.266970683357528,1.276533815810672,7.954180763653938,7.999999999999999,1
0,0,35,40.012230545650006,5.655679225921631,1.4145073792964886,3.5113437175750732,4.434901237487793,4.966821599756306,6.273200526877613,1.2752661047138365,6.33401923432977,7.999999999999999,1
0,0,36,-40.71970102258916,5.070428848266602,1.5777758133288695,2.732872724533081,3.2262332439422607,4.311860485674465,5.090272780449638,1.5716250081382352,6.776627770889066,7.999999999999998,1
0,0,37,38.21606195688152,4.1458916664123535,1.929621090876887,3.4171009063720703,2.65171480178833,6.5937099785900735,5.116804808521185,1.2132775062864734,8.0,6.20810417823722,0
0,0,38,22.688722009855024,5.8341965675354,1.3712256533343925,5.3199005126953125,5.306164741516113,7.294784056194599,7.27594921438535,1.0966739986232414,7.999999999999999,7.979344318719614,0
0,0,39,27.512867518570467,7.263450622558594,1.1014048853245941,6.161823272705078,6.178317546844482,6.786662255064152,6.804829129181175,1.1756356916727813,7.978642374381902,8.0,1
0,0,40,34.29042826717933,4.484207630157471,1.784038710919161,3.7315735816955566,3.6429171562194824,6.6572717223881375,6.499105227367101,1.2016934764877212,8.000000000000002,7.809932354734294,0
0,0,41,4.309343754644558,2.7845911979675293,2.8729531307285585,2.3578946590423584,2.3021180629730225,6.774120842623891,6.61387729632511,1.1809650559616054,8.0,7.810757971377774,0
0,0,42,-41.742123135534094,3.1864094734191895,2.5106628845838723,2.5291545391082764,2.478360176086426,6.349854430715979,6.222326908730939,1.259871401350843,8.0,7.839331722165907,0
0,0,43,20.27995514518223,3.9246859550476074,2.038379654227126,1.9746307134628296,3.0411667823791504,4.025047070934626,6.199052494313034,1.2905198023954696,5.194402950615017,8.0,1
0,0,44,-11.467269427282199,2.181617259979248,3.667004358077043,1.2711052894592285,1.6987966299057007,4.661148636021772,6.229494645350798,1.284213319931267,5.985909164558617,7.999999999999999,1
0,0,45,-22.36008359680002,2.3557350635528564,3.3959676212207897,1.431178331375122,1.9640123844146729,4.860235273542712,6.669722465148868,1.1994502082811087,5.829610211145998,8.0,1
0,0,46,-8.038416116252815,3.100137948989868,2.580530328531566,2.120709180831909,2.5796303749084473,5.472554359132075,6.656814418852502,1.2017760292886512,6.576784647784044,8.0,1
0,0,47,-14.151375850579411,2.944040298461914,2.717354108291087,2.3658602237701416,2.0958054065704346,6.428879998704264,5.695045431722843,1.2443847142289783,8.000000000000002,7.086827482075479,0
0,0,48,-8.469183160008352,2.6897244453430176,2.9742823707652213,2.6738855838775635,1.779294490814209,7.9528907535703075,5.292124236428383,1.0059235374770543,8.0,5.3234723326760935,0
0,0,49,-11.835571773920702,2.842766046524048,2.814160528539409,2.078173875808716,1.9210954904556274,5.848314892742648,5.4062711007952835,1.3679153990027868,7.999999999999999,7.395321489961616,0
0,0,50,-5.48605102436395,2.8506019115448,2.8064248352603665,1.8495368957519531,1.9603933095932007,5.190586277968644,5.501696470920622,1.4540969394230006,7.54761562060523,8.0,1
0,0,51,-2.1979937858238685,3.2594871520996094,2.4543738406352587,2.7772295475006104,2.7040038108825684,6.816359550824795,6.636636218408225,1.1736470091329003,8.0,7.7890682484378955,0
0,0,52,-7.559871211299221,2.683427572250366,2.981261757436244,1.5876127481460571,1.9788689613342285,4.733089171666099,5.8995263574033165,1.3560410642052305,6.41826327732435,8.0,1
0,0,53,-4.4963634474816985,2.9938526153564453,2.672142228700703,1.776828408241272,2.4547791481018066,4.747938222816555,6.559519023776774,1.219601615758992,5.790593128070947,7.999999999999999,1
0,0,54,-0.5864952161529869,3.343291997909546,2.3928511194960373,2.01009464263916,3.162444591522217,4.809857215932102,7.567259081168125,1.0571859525609206,5.084913482507196,8.0,1
0,0,55,-1.881683099537467,2.8202788829803467,2.8365989081001635,2.1039633750915527,1.8048607110977173,5.968100212467433,5.119665922372669,1.3404600652126961,8.000000000000002,6.8627077161708865,0
0,0,56,0.566456004232272,3.676417589187622,2.1760313691045527,2.373762369155884,3.000723123550415,5.165381378083144,6.5296676468431,1.2251772115641693,6.328507553465393,8.0,1
0,0,57,-5.192581646951956,3.6749935150146484,2.1768745896598167,3.1342880725860596,1.8147616386413574,6.822952061886436,3.9505084974477818,1.1725130013280687,8.0,4.632022575114537,0
0,0,58,31.076791503833316,2.768003463745117,2.8901697937819684,2.760211229324341,2.1250364780426025,7.9774791194510035,6.141716239523549,1.0028230572856136,8.0,6.159054656299707,0
0,0,59,-34.595365921556855,3.33331561088562,2.4000127602301964,3.1630170345306396,1.9898097515106201,7.591281243699011,4.775568794055965,1.05384054985978,8.0,5.032688043821144,0
0,0,60,-13.961901563937186,3.2885842323303223,2.4326577745375624,2.9554390907287598,1.9911372661590576,7.189571881233542,4.843755550693299,1.1127227228761511,7.999999999999998,5.3897568653139185,0
0,0,61,42.901850810450206,2.9078121185302734,2.751209388329919,2.8531463146209717,2.5475833415985107,7.849602927064127,7.00893520695873,1.019159831947337,7.999999999999999,7.143225227653833,0
0,0,62,-3.2849020717364117,4.149463653564453,1.927960013127932,4.077925682067871,1.84628427028656,7.862077651534304,3.5595622459795706,1.0175427354674855,8.0,3.622006704840839,0
0,0,63,0.611446118490934,2.7734546661376953,2.8844891887635487,1.737075686454773,2.1284353733062744,5.010576037642813,6.139448823283856,1.3030485684089432,6.5290239327546225,8.0,1
0,1,32,30.042638973299297,3.3233258724212646,2.4072270692405695,3.2914578914642334,3.2212815284729004,7.9232865335981915,7.754356092984602,1.009682026022473,7.999999999999999,7.829433970464402,0
0,1,33,-24.051866737799042,7.13762092590332,1.120821641139136,7.0717668533325195,6.8596014976501465,7.926189330305498,7.688389808156713,1.0093122516531732,8.0,7.75998602885796,0
0,1,34,35.50298950264585,4.204189300537109,1.9028638884024451,3.7574150562286377,4.186788082122803,7.149849424237117,7.966887849865212,1.0041562214454103,7.179565781745586,8.0,1
0,1,35,-42.622471865946885,4.253996849060059,1.8805843736738166,2.943084239959717,2.705065965652466,5.534718232073924,5.0871047847629,1.4454213682712274,8.0,7.353009958531099,0
0,1,36,-6.9242558918334,4.9982008934021,1.6005759213401047,3.676358938217163,2.8064448833465576,5.884291594713865,4.491928104852639,1.3595519309727573,8.000000000000002,6.1070095287432045,0
0,1,37,-35.69960855739464,4.065328121185303,1.9678608371880912,3.2759246826171875,3.118712902069092,6.446563888500191,6.137192982414985,1.2409711806736192,7.999999999999999,7.616079621409373,0
0,1,38,20.521344290161732,8.082483291625977,0.9897948082724235,7.586862564086914,7.421807289123535,7.509437177009635,7.346066322772905,1.0653261771058207,7.999999999999999,7.825956752405472,0
0,1,39,26.37743007624734,9.714229583740234,0.8235341702640498,7.976873397827148,7.801009654998779,6.569227814980953,6.4243980134512615,1.2177991425044217,8.0,7.823626391888056,0
0,1,40,-11.408118929428811,2.587876796722412,3.0913372731391733,2.587815046310425,1.935763955116272,7.999809108649792,5.9840992664502375,1.000023861988157,8.0,5.984242058956063,0
0,1,41,37.80924630334898,4.360051155090332,1.8348408574656403,3.1958093643188477,3.6502768993377686,5.863801594323517,6.69767719596793,1.1944439491374832,7.003982333282452,7.999999999999999,1
0,1,42,28.49729382043047,2.8995330333709717,2.759064962505107,2.217205047607422,2.8743669986724854,6.117412761543106,7.9305652754182185,1.0087553310729316,6.170972735580192,8.0,1
0,1,43,-30.623475622347332,3.4320363998413086,2.330977608620324,2.026700496673584,2.0514183044433594,4.724193477125814,4.781810133571342,1.6730066181078422,7.903606952453386,8.0,1
0,1,44,-37.577437996480256,2.912177085876465,2.7470856902207497,1.8758150339126587,2.2182083129882812,5.153024637162415,6.093608314538817,1.312851037851038,6.765153742970646,8.000000000000002,1
0,1,45,43.099496414611444,2.9841020107269287,2.680873499378527,2.5393171310424805,1.730745553970337,6.8075880031296965,4.639909889806284,1.1751592482274351,8.0,5.452633017947795,0
0,1,46,-8.232784086806713,3.7979369163513184,2.1064067614070874,2.4896297454833984,2.4565718173980713,5.244172929286437,5.174539486049394,1.5255027070757834,8.0,7.893773993838884,0
0,1,47,12.648360225957527,3.4962055683135986,2.2881949712867757,2.6001551151275635,3.2215750217437744,5.949661859000478,7.3715917643771895,1.0852472919973077,6.456854420779937,8.000000000000002,1
0,1,48,-4.498642846385115,4.912720680236816,1.6284255752994208,3.3461031913757324,4.167337894439697,5.448880014427255,6.786199608220041,1.1788630547073353,6.423483338541463,7.999999999999999,1
0,1,49,-19.707980521542215,5.650918006896973,1.4156991820153755,2.816697359085083,3.6402788162231445,3.98759614724162,5.153539742435005,1.5523310966493227,6.190069500242198,7.999999999999999,1
0,1,50,15.164018314637003,4.9330620765686035,1.6217107905450752,2.5186381340026855,3.617856502532959,4.084502639390468,5.867116928801366,1.3635317136306633,5.569348883217051,8.0,1
0,1,51,-2.5378827639271275,3.6100306510925293,2.216047666403858,2.371922254562378,2.2569522857666016,5.256292777114335,5.0015138460579305,1.5219852354556132,8.0,7.612230228626989,0
0,1,52,15.359048311223676,4.653687000274658,1.7190670536131554,2.834266424179077,2.619260787963867,4.87229403096822,4.5026849254095165,1.6419370319508906,8.0,7.39312512223692,0
0,1,53,14.35145002826295,3.4927122592926025,2.2904835572170157,2.244373321533203,2.7361807823181152,5.14070018922834,6.267177091472833,1.2764917734469095,6.562061501306946,8.0,1
0,1,54,7.45086714936456,4.4990386962890625,1.7781576332292122,3.7542269229888916,3.3541455268859863,6.6756072599873155,5.964199471593934,1.1983928485354307,8.000000000000002,7.147453993996966,0
0,1,55,-1.5330652535540115,4.289816856384277,1.8648814781204655,3.7394278049468994,3.6191272735595703,6.973589652214141,6.749243419421862,1.1471853663571916,7.999999999999999,7.742633284743333,0
0,1,56,10.208997280444638,3.573350429534912,2.2387952588913134,2.832514524459839,2.4953746795654297,6.34142008810147,5.586633001768514,1.2615470807572826,8.0,7.047800554643365,0
0,1,57,7.926731977036416,4.291383266448975,1.8642007724049836,2.6809329986572266,3.004309892654419,4.997797366862811,5.600636822430301,1.4284089923417915,7.138898700728967,8.0,1
0,1,58,39.83091652934338,4.193868160247803,1.9075468503824653,2.6873891353607178,3.7718100547790527,5.1263206809093935,7.194904390234696,1.1118980275621204,5.699945853754062,7.999999999999999,1
0,1,59,19.285159761253766,3.4079411029815674,2.3474584091259367,2.307924509048462,2.2607529163360596,5.417756796393661,5.307023444409069,1.4766258989929584,8.0,7.836488264577247,0
0,1,60,21.342338500821135,3.7696824073791504,2.122194693202803,3.1729207038879395,2.6975820064544678,6.733555479744288,5.724794218577041,1.188079614709554,7.999999999999999,6.801511309498493,0
0,1,61,-10.800322175157444,3.9599311351776123,2.020237152341585,2.4873011112213135,2.7676608562469482,5.024938113949807,5.591331286871608,1.4307862635118622,7.189612428436588,8.0,1
0,1,62,5.330428027431814,4.361631870269775,1.8341758859867245,3.3709895610809326,2.406764030456543,6.18298776484762,4.41442854792361,1.2938728498676175,8.0,5.7117092458388905,0
0,1,63,-29.647377706663168,4.775965213775635,1.6750540763833595,3.052006721496582,2.558316230773926,5.112276299992263,4.285318031035576,1.5648606473034543,8.0,6.705925547947496,0
0,2,32,15.802750910545676,5.153757095336914,1.5522656291345878,5.091669082641602,4.976733684539795,7.903622911911795,7.72521264386746,1.0121940392605209,7.999999999999999,7.819414190142651,0
0,2,33,-24.835014816282474,7.359657287597656,1.0870071373406798,7.3575053215026855,7.357297420501709,7.997660797495452,7.99743480762353,1.0002924858360185,7.999999999999999,7.999773944029241,0
0,2,34,31.048583904721863,4.25510835647583,1.880093132722422,2.4220221042633057,3.630079507827759,4.553627125527351,6.824887553903359,1.172180484559714,5.337672850504907,7.999999999999999,1
0,2,35,-42.667972670373274,3.084444522857666,2.593659876426692,2.4573476314544678,2.7336435317993164,6.373523954135619,7.090141544881241,1.1283272624896517,7.191420835582063,8.0,1
0,2,36,-3.1169944116444155,6.082210063934326,1.3153113614798657,4.913119316101074,4.186752796173096,6.46228165677393,5.506883520514069,1.2379528508501627,8.0,6.817262153520172,0
0,2,37,-13.228691437583723,4.564833164215088,1.752528452236563,4.246823310852051,2.287274122238159,7.4426786838897,4.0085129772867845,1.0748818187350568,8.0,4.308677719449096,0
0,2,38,17.894417589125904,9.094829559326172,0.8796206622472112,8.634835243225098,8.188611030578613,7.59537949504122,7.202871457602379,1.0532719273899276,8.0,7.586582302890754,0
0,2,39,25.26135054881738,10.449190139770508,0.7656095728942015,9.521526336669922,9.088802337646484,7.28977171191875,6.958474075845345,1.097428056206483,8.0,7.636424679218161,0
0,2,40,24.651604133861433,4.421822547912598,1.8092087399067036,3.7812516689300537,3.18818736076355,6.841073567215062,5.768096437553501,1.1694070998357537,8.0,6.745252926612382,0
0,2,41,35.84579911654671,6.586940288543701,1.2145244452745314,4.582371234893799,5.338286876678467,5.56540188210136,6.4834799076142255,1.233905265998398,6.867178689722264,8.0,1
0,2,42,34.075766268061344,4.350966930389404,1.8386717545757152,2.8268849849700928,4.068356037139893,5.197713575298705,7.48037133304671,1.0694656246084575,5.558775995342688,8.0,1
0,2,43,13.715101826919414,2.946007013320923,2.7155400390516724,2.644188642501831,1.9161118268966675,7.180400129519411,5.203278385238348,1.1141440387299761,8.0,5.797201594765841,0
0,2,44,43.679631626613634,3.9767868518829346,2.011674323508726,2.9265427589416504,3.3705930709838867,5.887250924813306,6.78053553589471,1.1798478096087992,6.946060108258355,7.999999999999999,1
