model,stage,layer,head,tokens,mean,p50,p90,p99,p99_9,max,mean_delta_vs_orig,mean_gain_pct_vs_orig,p50_delta_vs_orig,p50_gain_pct_vs_orig,p90_delta_vs_orig,p90_gain_pct_vs_orig,p99_delta_vs_orig,p99_gain_pct_vs_orig,p99_9_delta_vs_orig,p99_9_gain_pct_vs_orig,max_delta_vs_orig,max_gain_pct_vs_orig
fireq_rpn,post,4,1,20480,11.761686325073242,11.841873168945312,13.381093978881836,14.393278121948242,15.06678295135498,15.985391616821289,-0.048664093017578125,-0.4154699961586042,-0.06771564483642578,-0.5751209349609135,-0.06533145904541016,-0.4906325037570038,-0.004679679870605469,-0.032523528191045606,-0.08363151550292969,-0.5581703946661992,-0.2587118148803711,-1.6450504374638697
orig,post,4,1,20480,11.713022232055664,11.774157524108887,13.315762519836426,14.388598442077637,14.98315143585205,15.726679801940918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_postclip_rpn,post,4,1,20480,5.775215148925781,5.764284610748291,6.533570289611816,7.323934555053711,7.837344169616699,8.280908584594727,5.937807083129883,50.69406482367602,6.009872913360596,51.04291242116234,6.782192230224609,50.93356253628894,7.064663887023926,49.09904126842688,7.145807266235352,47.69228487630906,7.445771217346191,47.344838905076884
fireq_rpn,post,4,2,20480,11.257792472839355,11.332050323486328,13.035250663757324,14.11613655090332,15.016084671020508,15.924920082092285,-0.06404304504394531,-0.5721322016099344,-0.06096839904785156,-0.5409276541203829,-0.11462020874023438,-0.8871100302673487,-0.06880664825439453,-0.4898201204872362,-0.14706993103027344,-0.9891034046440795,-0.5345678329467773,-3.4733956981163785
orig,post,4,2,20480,11.19374942779541,11.271081924438477,12.92063045501709,14.047329902648926,14.869014739990234,15.390352249145508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_postclip_rpn,post,4,2,20480,5.846739292144775,5.8376946449279785,6.601653575897217,7.323658466339111,7.847466468811035,8.1168212890625,5.347010135650635,47.76782051573687,5.433387279510498,48.20643941669503,6.318976879119873,48.90610331376059,6.7236714363098145,47.864408986663875,7.021548271179199,47.222686869054854,7.273530960083008,47.26032804406308
fireq_rpn,post,4,3,20480,10.957037925720215,10.991741180419922,11.799237251281738,12.349603652954102,12.789483070373535,13.087183952331543,-0.01848316192626953,-0.16897261407373348,-0.020090103149414062,-0.18310920578794065,-0.023145675659179688,-0.19654802708135413,0.045121192932128906,0.36403545454342606,0.0010099411010742188,0.007896029497597788,0.27996349334716797,2.0944146422030654
orig,post,4,3,20480,10.938554763793945,10.971651077270508,11.776091575622559,12.39472484588623,12.79049301147461,13.367147445678711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_postclip_rpn,post,4,3,20480,6.198397636413574,6.173966407775879,6.830418109893799,7.436181545257568,7.868730068206787,8.229626655578613,4.740157127380371,43.33440047372664,4.797684669494629,43.7280099021175,4.94567346572876,41.997579875879154,4.958543300628662,40.00527129308874,4.921762943267822,38.4798532695527,5.137520790100098,38.43393522049418
fireq_rpn,post,4,4,20480,13.137903213500977,13.156343460083008,15.53041934967041,17.320711135864258,18.379344940185547,19.985334396362305,-0.03264045715332031,-0.24906373691371128,-0.012922286987304688,-0.09831752948582617,-0.11032485961914062,-0.7154616315115317,-0.11248016357421875,-0.6536416425101603,0.4566612243652344,2.424405791630432,-0.20639991760253906,-1.0435340580362817
orig,post,4,4,20480,13.105262756347656,13.143421173095703,15.42009449005127,17.20823097229004,18.83600616455078,19.778934478759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_postclip_rpn,post,4,4,20480,5.886295318603516,5.875116348266602,6.682606220245361,7.387340545654297,7.878921985626221,8.265765190124512,7.218967437744141,55.08449217660719,7.268304824829102,55.299946103128484,8.737488269805908,56.66300083597515,9.820890426635742,57.07088917187399,10.95708417892456,58.17095239406806,11.513169288635254,58.209249345555165
fireq_rpn,post,4,5,20480,10.61046314239502,10.644594192504883,11.844693183898926,12.755969047546387,13.218052864074707,13.60486888885498,-0.07767677307128906,-0.737476013920867,-0.07629585266113281,-0.7219312911851505,-0.15223407745361328,-1.3019851176532768,-0.06815052032470703,-0.5371334731694836,0.11969375610351562,0.8974061324754439,0.4764413833618164,3.3835017775431138
orig,post,4,5,20480,10.53278636932373,10.56829833984375,11.692459106445312,12.68781852722168,13.337746620178223,14.081310272216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_postclip_rpn,post,4,5,20480,5.664378643035889,5.636184215545654,6.50405740737915,7.285809516906738,7.836610794067383,8.127326011657715,4.868407726287842,46.221460832689644,4.932114124298096,46.66895242447344,5.188401699066162,44.373913578249116,5.402009010314941,42.576342014389205,5.50113582611084,41.24486678872996,5.953984260559082,42.28288522486876
fireq_rpn,post,4,6,20480,11.980171203613281,12.018566131591797,13.13755989074707,13.964786529541016,14.511625289916992,15.15853500366211,-0.029626846313476562,-0.2479121069943518,-0.028057098388671875,-0.23399422252198368,-0.05845355987548828,-0.4469231948785065,-0.05359458923339844,-0.3852623805592701,-0.032009124755859375,-0.22106335133990182,-0.31863880157470703,-2.147176754038797
orig,post,4,6,20480,11.950544357299805,11.990509033203125,13.079106330871582,13.911191940307617,14.479616165161133,14.839896202087402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_postclip_rpn,post,4,6,20480,6.028027534484863,5.981912612915039,6.712472438812256,7.42765474319458,7.896969318389893,8.332054138183594,5.922516822814941,49.55855269636537,6.008596420288086,50.11127053613469,6.366633892059326,48.677896876116755,6.483537197113037,46.606625980962974,6.58264684677124,45.461473368399794,6.507842063903809,43.85368991319768
fireq_rpn,post,4,7,20480,11.648685455322266,11.638869285583496,12.971648216247559,14.161988258361816,15.036186218261719,15.769556999206543,-0.08292675018310547,-0.7170022503258483,-0.07836627960205078,-0.6778794967788494,-0.17527008056640625,-1.3696850679778432,-0.18593502044677734,-1.3303828862240032,0.11177253723144531,0.7378719406066034,0.0783233642578125,0.49421981023013584
