layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,spread_score,orientation_score,drift_score,candidate_mode,target_diag_angle,suggested_alpha_rad,suggested_alpha_deg,candidate_score,candidate_label
1,4,2,4,5,4.160172793736266,0.6442859680224553,0.840135552321636,0.5468782186508179,4.67578378589763,-1.980728156848761,-2.9430128265775313,3.4202568746449815,0.7399159190912848,26.021612313725697,0.012115063929704309,5.805009744997857e-05,0.5585388541221619,0.038867014597169985,-1.87720643864132,2.186731476277332,13.168432905230238,12.853179408495459,0.10352171820744083,1.153441004324723,0.05370721280163251,0.840135552321636,0.7439538038059025,mean,-2.356194490192345,-0.375466333343584,-21.512636249839456,0.018357712880549194,skip
1,4,26,52,53,1.8593627933133812,0.3812201562061908,0.04883916170998198,0.5469887256622314,0.3089862745815667,2.595849503467329,1.7025490146164701,1.2840946839123344,0.5752681094010467,1.952405462148658,0.024001969310632133,0.0012428442754444473,0.555898904800415,0.04929052151416198,-2.2680853947153414,2.099121686138086,0.9996335190665423,0.9527719430821157,1.4192504089969165,0.396572671521616,0.27064259408961056,0.3812201562061908,0.3220447474759922,pca,2.356194490192345,0.6536454755758747,37.45112704831915,0.018174672659000444,skip
1,4,20,40,41,0.21738655209470048,0.556334581991313,0.9700589422869644,0.5650335550308228,2.6538833497856804,0.3717722880478957,3.009734022838662,0.1691631043426974,0.04822344775200307,7.231781158926815,0.022689938621372644,0.003953065738261182,0.5677545070648193,0.16941417860874472,1.6183822424271876,1.719738035226395,3.697934914773043,3.533846244153772,1.246609954379292,1.289995987612267,0.8582994904985546,0.9700589422869644,0.02838930677290631,mean,0.7853981633974483,0.4136258753495526,23.699016954933636,0.013355680020477873,mean_cluster
1,4,22,44,45,2.7080428895983903,0.28410711433253705,0.014049116043201944,0.5259119272232056,0.19643760417846023,-1.795108827111599,1.8352071493992537,1.7387085702256093,0.9693343193727813,2.745116331887984,0.02587028434888735,0.0005511779260001106,0.5561402440071106,0.038908635863393076,-1.3581701155144752,2.083725256389573,1.4080666359823635,1.3370496959056208,0.4369387115971237,0.2485181069903193,0.14904634190044208,0.28410711433253705,0.4916187632710975,pca,2.356194490192345,0.5209873407930912,29.85037580718803,0.010948254914329245,skip
1,4,36,72,73,2.932757378791022,0.7359530191143668,0.0099975131364246,0.4991764426231384,0.17209407448625083,-0.7281347706165562,1.6787587652449831,2.545564513021474,0.38719286576954837,2.941316563848017,0.5610445623712432,0.007108065327526898,0.56617271900177,0.1451094173013257,-0.23738481207990203,2.2218818794075257,2.295763114103989,0.6455534497440283,0.49074995853665415,0.5431231141625426,0.12726916416134237,0.7359530191143668,0.2118704393695217,pca,2.356194490192345,0.6774357249473617,38.81420793086912,0.009905986506837869,skip
1,4,4,8,9,0.617468453706286,0.3830584492263086,0.9647595158832558,0.8838370442390442,4.111459246002176,-0.8112120444303389,3.119344381972972,0.42699748101478285,0.19047097269150315,17.52124524590236,0.004771344607569945,1.8136005275530047e-05,0.5602819919586182,0.017826136971115777,0.6043514406846002,-2.728500471119736,8.802422572462156,8.718822673440204,1.415563485114939,0.4353404540868786,0.6478980549601765,0.9647595158832558,0.0175190380583179,mean,-0.7853981633974483,0.025813881032890618,1.4790264360374386,0.009678503319529155,mean_cluster
1,4,1,2,3,1.614322832055848,0.5086921051126001,0.9641816845160495,0.7184421420097351,6.5920737071568105,1.0497355102373627,-2.527456594148357,1.2177580559130903,0.3965647761427577,45.06939371173421,0.009894003421256728,7.951623873146675e-06,0.5577649474143982,0.01893086677020595,2.1821206550048804,1.3768185155751116,22.75765522365604,22.311738488078166,1.1323851447675177,0.7626824561336755,0.32151333628717566,0.9641816845160495,0.039345009800368445,mean,0.7853981633974483,-0.2643373468399144,-15.145414341612904,0.008762727902443892,skip
1,4,38,76,77,3.5831825477706616,0.36627202165589384,0.06404284938719254,0.5390540957450867,0.4951557274810185,1.802557060754494,1.92447062352665,2.4478010317525523,1.1353815160181093,3.5888275165456482,0.3089762843443544,0.06256820171305395,0.5676100254058838,0.48942177646757806,2.1980172563593308,2.2870913417285053,2.3488450538805044,1.239982462665144,0.3954601956048367,0.36262071820185526,0.0805692348815964,0.36627202165589384,0.3548503261600666,pca,2.356194490192345,0.4317238666656949,24.735955475013007,0.005644825797677934,skip
1,4,15,30,31,1.0219640553041196,0.12402978936570289,0.7840331149607533,0.5674706697463989,1.9261558827632845,-2.6659470749394547,1.7445574283923146,0.5743590209114665,0.447605034392653,4.731884564104432,0.005647602371456108,3.281555870516134e-05,0.5536321401596069,0.012461321416611736,-1.387381021941307,0.9577405298257309,2.3793041832950648,2.3525803808093664,1.2785660529981477,0.7868168985665838,0.48755895382742637,0.7840331149607533,0.025912083732278712,mean,-2.356194490192345,0.30975258474710987,17.747515799277753,0.005620918659342652,mean_cluster
1,4,16,32,33,1.0890180070279687,0.8705585608912181,0.8495920523815776,0.7460691928863525,2.4802037421241976,0.7177497812652818,3.0504608716920143,1.0185359780058652,0.07048202902210365,7.2371844945794335,0.03379269472739771,0.00044790903679986646,0.5611302852630615,0.05694780881494995,1.2312298509209527,1.4375665735258298,3.740874230445323,3.4963102641341104,0.513480069655671,1.5286983554236089,0.4651121821931057,0.8705585608912181,0.012680250344325742,pca,2.356194490192345,-0.6942663814996695,-39.77853351775056,0.003830563272984237,elongated_cluster
1,4,13,26,27,1.6455559084434717,0.9198046005288992,0.7593905488841114,0.5813968777656555,2.2789383343613974,2.90802713049804,1.6215414573658993,1.5795729017291045,0.06598300671436726,6.8387615533465755,0.023148515583759084,5.165635106740695e-05,0.5597319602966309,0.01879584307802446,-1.7477452403124236,2.976424161532661,3.498534365868927,3.340227187477648,1.6274129363691225,1.354882704166762,0.3145317817415401,0.9198046005288992,0.020835574504527797,pca,2.356194490192345,0.7346530328264456,42.09251818744126,0.0035045986359739096,skip
