layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg
0,1,60,120,121,0.626881908,0.538718277,0.744668519,0.525857925,1.352141628,-1.158494844,3.07196747,0.482297325,0.144584583,0.626919631,0.538758326,0.744653132,0.52612704,1.352127599,-1.157436792,3.073008194,0.482338901,0.14458073,0.001058051,0.001040724,elongated,pca,axis_like,3.07196747,176.0107708,0.71577298,41.01077085,0.069625183,3.989229153,2.35619449,135,-0.71577298,-41.01077085
0,2,32,64,65,2.640291452,0.638798537,0.021555021,0.527046382,0.241174816,-2.286310995,1.503732973,2.163452884,0.476838568,2.646752266,0.587578431,0.019160637,0.547234774,0.227385455,-1.921725793,1.829596802,2.100963405,0.545788862,0.364585202,0.325863829,elongated,pca,axis_like,1.503732973,86.15755287,0.71833481,41.15755287,0.067063354,3.84244713,0.785398163,45,-0.71833481,-41.15755287
0,2,33,66,67,2.876518715,0.986302154,0.873557933,0.129171193,4.457934315,1.612933254,1.473872295,2.85681766,0.019701055,3.450862079,0.623327427,0.84831172,0.490333617,4.393043675,1.878265412,1.691874869,2.80093953,0.649922549,0.265332158,0.218002573,elongated,pca,axis_like,1.473872295,84.44666207,0.688474132,39.44666207,0.096924031,5.553337934,0.785398163,45,-0.688474132,-39.44666207
0,2,37,74,75,2.304760211,0.952574972,0.084991788,0.465712488,0.462688667,2.165292945,3.028633349,2.250108553,0.054651658,2.306532944,0.941493482,0.084287958,0.450731516,0.460768874,2.284512885,-3.13681822,2.239059338,0.067473606,0.11921994,0.117733738,elongated,pca,axis_like,3.028633349,173.5279086,0.672438859,38.52790857,0.112959305,6.472091427,2.35619449,135,-0.672438859,-38.52790857
0,2,38,76,77,2.909527721,0.98110268,0.918892993,0.138079226,5.741356747,0.055520834,3.038756042,2.882036583,0.027491138,3.036388684,0.89601456,0.91535657,0.278822005,5.730297969,0.150531943,3.123161111,2.878518577,0.157870107,0.09501111,0.084405069,elongated,pca,axis_like,3.038756042,174.1078962,0.682561552,39.10789616,0.102836612,5.89210384,2.35619449,135,-0.682561552,-39.10789616
0,2,39,78,79,5.577991449,0.98693935,0.888086687,0.087915361,6.653125667,0.003438709,3.040849038,5.541565352,0.036426097,5.689233415,0.943575074,0.885854795,0.181795597,6.64476017,0.081230492,3.116144941,5.528726127,0.160507288,0.077791783,0.075295903,elongated,pca,axis_like,3.040849038,174.227816,0.684654548,39.22781601,0.100743616,5.772183995,2.35619449,135,-0.684654548,-39.22781601
0,2,44,88,89,1.097298785,0.111841465,0.745250724,0.470593095,1.791666497,-0.102038605,-2.710359702,0.610011144,0.487287641,1.096801474,0.111202131,0.745366182,0.468829811,1.791805287,-0.074212149,-2.684118933,0.609384067,0.487417406,0.027826456,0.026240769,compact_cluster,mean,axis_like,-0.102038605,-5.846381417,0.683359558,39.15361858,0.102038605,5.846381417,-0.785398163,-45,-0.683359558,-39.15361858
0,3,33,66,67,0.38317905,0.85840529,0.947733839,0.216509402,2.635929392,1.683090842,1.487483242,0.356050987,0.027128063,0.577981959,0.24870036,0.921162441,0.559983313,2.598715092,1.950738172,1.479346113,0.36086314,0.217118819,0.26764733,0.008137129,elongated,pca,axis_like,1.487483242,85.22651189,0.702085079,40.22651189,0.083313084,4.773488114,0.785398163,45,-0.702085079,-40.22651189
0,3,36,72,73,2.626341609,0.9617899,0.216733546,0.39721036,0.852479437,0.28325286,3.094012017,2.576165222,0.050176388,2.633819614,0.941911422,0.214503296,0.434254825,0.848081939,0.42575933,-3.047598042,2.557322197,0.076497418,0.142506471,0.141575248,elongated,pca,axis_like,3.094012017,177.2738304,0.737817527,42.27383036,0.047580636,2.726169641,2.35619449,135,-0.737817527,-42.27383036
0,3,37,74,75,1.893836923,0.952860043,0.036166542,0.347122967,0.26657768,-1.734327968,1.491595454,1.849199227,0.044637695,1.89472213,0.941182414,0.03571599,0.364763379,0.264911999,-1.614014886,1.603710902,1.839000639,0.055721491,0.120313081,0.112115449,elongated,pca,axis_like,1.491595454,85.46212423,0.70619729,40.46212423,0.079200873,4.537875769,0.785398163,45,-0.70619729,-40.46212423
0,3,38,76,77,0.848633677,0.945180076,0.79818194,0.218757927,1.832023611,0.067190596,3.009289194,0.82537266,0.023261017,0.85886396,0.914095929,0.795749014,0.318396509,1.829229357,0.163278403,3.102315479,0.821974004,0.036889955,0.096087808,0.093026285,elongated,pca,axis_like,3.009289194,172.4195702,0.653094704,37.41957017,0.132303459,7.580429829,2.35619449,135,-0.653094704,-37.41957017
0,3,39,78,79,0.672683556,0.953439287,0.972596013,0.057368636,4.886127229,3.124468102,3.01209685,0.657023242,0.015660313,0.728401439,0.797989481,0.97032616,0.127228796,4.880422183,-3.080820263,3.079567549,0.654829062,0.073572376,0.077896942,0.067470699,elongated,pca,axis_like,3.01209685,172.580437,0.65590236,37.580437,0.129495803,7.419563004,2.35619449,135,-0.65590236,-37.580437
0,4,32,64,65,0.950174741,0.878733669,0.556135874,0.417690337,1.091106574,-1.362347607,1.454061786,0.892562639,0.057612102,1.003243377,0.732871169,0.531345364,0.60547626,1.06651051,-1.038235291,1.745397975,0.869245762,0.133997615,0.324112316,0.291336189,elongated,pca,axis_like,1.454061786,83.31160347,0.668663622,38.31160347,0.116734541,6.688396528,0.785398163,45,-0.668663622,-38.31160347
0,4,33,66,67,0.143576243,0.654377596,0.976625693,0.215355039,2.449266248,0.122634334,-3.028833152,0.11876466,0.024811583,0.317227863,0.273014941,0.948355091,0.564461112,2.413556074,0.38932132,1.961962307,0.201917905,0.115309958,0.266686986,1.292389849,compact_cluster,mean,axis_like,0.122634334,7.026429752,0.66276383,37.97357025,0.122634334,7.026429752,0.785398163,45,0.66276383,37.97357025
0,4,34,68,69,0.509069128,0.779927793,0.75467452,0.305850267,1.251402147,-3.033220434,3.047930268,0.453053145,0.056015983,0.535548624,0.667024487,0.741913765,0.502802014,1.240777037,-2.816607393,-3.045700814,0.446386335,0.089162289,0.216613041,0.189554225,compact_cluster,mean,axis_like,-3.033220434,-173.7907292,0.677025944,38.79072921,0.108372219,6.209270788,-2.35619449,-135,0.677025944,38.79072921
0,4,37,74,75,0.792744366,0.864383879,0.878946441,0.155061901,2.399158866,-3.111177835,3.024307755,0.738989908,0.053754458,0.81983053,0.789587437,0.874810327,0.277739763,2.393507218,-2.993358286,3.133144356,0.733579208,0.086251322,0.117819549,0.108836601,elongated,pca,axis_like,3.024307755,173.2800703,0.668113265,38.28007031,0.117284899,6.719929688,2.35619449,135,-0.668113265,-38.28007031
