layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,spread_score,orientation_score,drift_score,candidate_mode,target_diag_angle,suggested_alpha_rad,suggested_alpha_deg,candidate_score,candidate_label
1,4,46,92,93,0.04614652628196893,0.9767908815992453,0.9957829683888235,0.8130318522453308,3.3010220557066625,2.541027380035075,2.529727164562885,0.045611016186326445,0.0005355100956424812,0.07074186048890589,0.3225458625624805,0.9935353601990288,0.7348747253417969,3.297294491524394,2.6153598238699525,2.841923135604656,0.046779677449948626,0.023962183038957266,0.07433244383487736,0.312195971041771,0.9680837827243092,0.9957829683888235,0.8086586343737674,mean,2.356194490192345,-0.18483288984273027,-10.590144503194907,0.6337973620059517,mean_cluster
1,4,45,90,91,0.05125569812271258,0.9694365133637947,0.9958769714938608,0.7532707452774048,3.518566413431508,-2.1142999003342258,1.0150367768456579,0.050472421700895845,0.000783276421816732,0.09339498110020975,0.17617107069064702,0.9924872706811095,0.6534441709518433,3.5125731003682508,-2.023029441711107,1.6615244925881945,0.054924237458971306,0.03847074364123844,0.09127045862311878,0.6464877157425366,0.9646133730773195,0.9958769714938608,0.7704559943793983,mean,-2.356194490192345,-0.24189458985811907,-13.85953908591827,0.5575167348346097,mean_cluster
1,4,44,88,89,0.05806981403624987,0.9683917587203057,0.9960405625945782,0.6874766945838928,3.8220555011697157,-2.053282530601874,1.0762329367417978,0.05715207169017168,0.0009177423460781878,0.13289987045088475,0.2148307906612886,0.9909383429322585,0.5578219294548035,3.812253607658079,-1.94121781148526,2.3337930330093557,0.08072542734942299,0.052174443101461764,0.11206471911661375,1.257560096267558,0.960004231673892,0.9960405625945782,0.7260147759895593,mean,-2.356194490192345,-0.302911959590471,-17.355576848571328,0.477258434296584,mean_cluster
1,4,43,86,87,0.07159498265087186,0.9665987596075791,0.996110733654299,0.612632155418396,4.282143936509119,-1.9866197495180506,1.1428414009749563,0.07039930203814868,0.0011956806127231875,0.21270211422651014,0.37197316221674465,0.9884453463965375,0.4400995373725891,4.265635761999182,-1.8490227979994243,2.6376870042504708,0.14591079613295216,0.06679131809355798,0.13759695151862636,1.4948456032755144,0.9509207999178485,0.996110733654299,0.6749382004458325,mean,-2.356194490192345,-0.3695747406742942,-21.175072855278938,0.3916659021456217,mean_cluster
1,4,42,84,85,0.0957580021056161,0.9697778662027714,0.9962484805150368,0.5179386138916016,5.0427538655189945,2.805388707711173,2.7916582973830115,0.09431099653020537,0.001447005575410715,0.38862851350967476,0.5306285295581661,0.984774666190925,0.28457921743392944,5.013630837923152,2.9743263243101126,1.259768228666785,0.29742294508911,0.09120556842056476,0.16893761659893958,1.5318900687162265,0.9349064409235627,0.9962484805150368,0.61712794852829,mean,2.356194490192345,-0.4491942175188282,-25.73693284551032,0.29770719391196987,mean_cluster
1,4,58,116,117,0.7772815295632276,0.9539225968207652,0.818905311348319,0.5206912755966187,1.8747923007295009,2.9968983539025427,1.567916889220332,0.759373972352976,0.017907557210251664,0.7777986461212638,0.9538421833333028,0.8187848378756427,0.5193852186203003,1.8746544253558404,3.0032305750366293,1.5739217312218077,0.7598479024661055,0.017950743655158318,0.006332221134086602,0.006004842001475774,0.579056401948353,0.9539225968207652,0.9829896465108702,pca,0.7853981633974483,-0.7825187258228836,-44.83502037960606,0.28272437235091225,elongated_cluster
1,4,50,100,101,0.31110328506241886,0.8525533028955583,0.9488331380019492,0.4008258581161499,2.4018884237039733,-0.23707037488566898,1.5517745327227428,0.2881677091424475,0.02293557591997136,0.31255588116311794,0.8481984342065659,0.948594230905724,0.37144625186920166,2.4015860185495406,-0.20431254716703617,1.5770019516113556,0.28883264508428813,0.023723236078829806,0.03275782771863281,0.025227418888612796,0.8035818897974042,0.9488331380019492,0.9106526001423847,mean,-0.7853981633974483,-0.5483277885117792,-31.416868071466936,0.278309766880233,mean_cluster
1,4,49,98,99,0.5593492484292757,0.9311137176762687,0.8962035864462087,0.4684206247329712,2.197625543528573,1.814428180829339,3.115566299280086,0.5400835033073083,0.019265745121967454,0.5593202336251574,0.9320513450149737,0.8962089703853404,0.4929560422897339,2.197632142165387,1.8545155915238813,-3.1290649810068616,0.5403177048352533,0.0190025287899041,0.040087410694542365,0.03855402689263901,0.6749142631774315,0.9311137176762687,0.8956958627269989,pca,2.356194490192345,-0.759371809087741,-43.50879974194165,0.26366222241461923,elongated_cluster
1,4,56,112,113,0.7824137373266133,0.949294470165491,0.8581466541205177,0.4670780301094055,2.175600742304774,0.18471067349128234,1.545947683637068,0.7625773857766158,0.019836351549997508,0.7825868177963946,0.9495464429245016,0.8581152828692814,0.46975964307785034,2.1755610413438196,0.19427309052929412,1.555222815696354,0.7628446734577579,0.019742144338636726,0.00956241703801178,0.009275132059285873,0.5769712444223617,0.949294470165491,0.9738476763908123,pca,0.7853981633974483,-0.7605495202396197,-43.57627762042979,0.24913548652483639,elongated_cluster
1,4,52,104,105,0.7520076409081664,0.9498187973492258,0.8418799087346709,0.4602910876274109,2.000979646674017,1.5767745059335019,3.1323142323492705,0.7331393169969697,0.0188683239111968,0.7529457742476943,0.9494691858805059,0.8416826597178235,0.4608030915260315,2.0007452639600793,1.5984890300078207,-3.1301508286729516,0.7339222927678846,0.019023481479809732,0.02171452407431884,0.020720246157363918,0.5894353463901126,0.9498187973492258,0.9425175837769313,pca,2.356194490192345,-0.7761197421569257,-44.46838562237352,0.24288403146712448,elongated_cluster
1,4,55,110,111,0.3369981580934718,0.8861958731988114,0.9272819832636467,0.3233318328857422,2.072996942672629,-1.586840312591714,3.1405101889116582,0.31782226753619663,0.019175890557275126,0.33736965664202934,0.8863339668823297,0.9272018245748084,0.32280945777893066,2.072907396076951,-1.575103460776913,-3.1319516866893147,0.3181959213600875,0.019173735281941856,0.011736851814801108,0.010723431578613574,0.7890876857440042,0.9272819832636467,0.9670221650552357,mean,-2.356194490192345,-0.7693541776006307,-44.080747327274516,0.2287820675411943,mean_cluster
1,4,48,96,97,1.293236610985477,0.9722500346995899,0.783175948061423,0.6087545156478882,2.1612994258099723,0.3334557968308892,1.5405911268525587,1.2752929754459297,0.01794363553954723,1.2978165565473658,0.9712512426164313,0.782408072782516,0.6236175894737244,2.1602396206419368,0.3827525486141428,1.5895497147899675,1.279161249891572,0.018655306655793666,0.0492967517832536,0.048958587937408815,0.4029176774044043,0.9722500346995899,0.8694611041062892,pca,0.7853981633974483,-0.7551929634551106,-43.26936952395525,0.20734169438232425,elongated_cluster
