layer,head,tokens,stage,top_setter_dim,top_setter_dim_freq,top_setter_dim_frac_pct,top_setter_pair,top_setter_pair_freq,top_setter_pair_frac_pct,early_pair_tokens,late_pair_tokens,early_pair_frac_pct,late_pair_frac_pct,block0_frac_pct,block1_frac_pct,block2_frac_pct,block3_frac_pct,top_dims,top_pairs
20,7,20480,post,76,11923,58.2177734375,38,12800,62.5,16,20464,0.078125,99.921875,0.0,0.078125,64.6240234375,35.2978515625,76:11923;99:6113;112:1094;77:877;67:421;66:14;100:12;58:11,38:12800;49:6113;56:1094;33:435;29:16;50:12;57:6;59:1
21,0,20480,post,78,15907,77.6708984375,39,15907,77.6708984375,1,20479,0.0048828125,99.9951171875,0.0,0.0048828125,77.7099609375,22.28515625,78:15907;97:3425;98:1032;100:33;108:28;119:12;91:8;107:5,39:15907;48:3425;49:1033;50:33;54:32;59:15;45:8;53:7
21,1,20480,post,113,13024,63.59375,56,13024,63.59375,0,20480,0.0,100.0,0.0,0.0,12.2998046875,87.7001953125,113:13024;108:4937;76:2496;77:23,56:13024;54:4937;38:2519
21,2,20480,post,84,20480,100.0,42,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,84:20480,42:20480
21,3,20480,post,76,13084,63.88671875,38,14443,70.5224609375,62,20418,0.302734375,99.697265625,0.009765625,0.29296875,73.3984375,26.298828125,76:13084;114:2978;118:1393;77:1359;116:670;65:327;123:109;64:101,38:14443;57:2980;59:1414;58:676;32:428;61:129;46:65;29:58
21,4,20480,post,80,20447,99.8388671875,40,20447,99.8388671875,0,20480,0.0,100.0,0.0,0.0,99.8388671875,0.1611328125,80:20447;103:17;125:11;98:5,40:20447;51:17;62:11;49:5
21,5,20480,post,79,12302,60.068359375,39,12302,60.068359375,0,20480,0.0,100.0,0.0,0.0,60.5322265625,39.4677734375,79:12302;125:7401;110:645;70:83;106:13;114:9;85:4;105:3,39:12302;62:7401;55:646;35:84;53:13;57:9;52:4;42:4
21,6,20480,post,78,16489,80.5126953125,39,16489,80.5126953125,2,20478,0.009765625,99.990234375,0.0,0.009765625,82.0703125,17.919921875,78:16489;110:3659;69:250;82:58;68:10;123:7;98:2;90:1,39:16489;55:3659;34:260;41:58;61:7;49:2;22:2;45:1
21,7,20480,post,79,16735,81.7138671875,39,16796,82.01171875,11,20469,0.05371093750000001,99.9462890625,0.0048828125,0.048828125,88.251953125,11.6943359375,79:16735;69:1157;127:1013;112:323;109:278;123:274;117:154;126:99,39:16796;34:1213;63:1112;56:338;61:296;54:280;58:161;51:71
22,0,20480,post,81,19840,96.875,40,19840,96.875,2,20478,0.009765625,99.990234375,0.0,0.009765625,97.2021484375,2.7880859375,81:19840;115:285;66:61;109:52;102:47;100:32;114:26;119:23,40:19840;57:311;54:65;33:64;51:49;50:34;55:26;59:26
22,1,20480,post,85,20382,99.521484375,42,20382,99.521484375,0,20480,0.0,100.0,0.0,0.0,99.521484375,0.478515625,85:20382;100:98,42:20382;50:98
22,2,20480,post,77,9371,45.7568359375,38,10202,49.814453125,8,20472,0.0390625,99.9609375,0.0,0.0390625,50.64453125,49.31640625,77:9371;113:7104;107:2933;76:831;67:152;98:39;66:17;116:12,38:10202;56:7104;53:2933;33:169;49:39;58:12;62:5;57:5
22,3,20480,post,117,9122,44.541015625,58,9151,44.6826171875,79,20401,0.3857421875,99.6142578125,0.0,0.3857421875,41.4697265625,58.14453125,117:9122;77:6802;106:1866;68:1125;76:406;114:145;107:109;121:100,58:9151;38:7208;53:1975;34:1195;57:194;60:129;63:94;22:78
22,4,20480,post,92,15788,77.08984375,46,15788,77.08984375,1,20479,0.0048828125,99.9951171875,0.0048828125,0.0,99.6484375,0.3466796875,92:15788;76:4492;77:114;125:64;67:9;105:5;66:5;109:2,46:15788;38:4606;62:64;33:14;52:5;54:2;0:1
22,5,20480,post,94,20478,99.990234375,47,20478,99.990234375,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,94:20478;74:2,47:20478;37:2
22,6,20480,post,102,20469,99.9462890625,51,20469,99.9462890625,0,20480,0.0,100.0,0.0,0.0,0.0,100.0,102:20469;107:11,51:20469;53:11
22,7,20480,post,81,19159,93.5498046875,40,19159,93.5498046875,1,20479,0.0048828125,99.9951171875,0.0,0.0048828125,94.150390625,5.8447265625,81:19159;98:464;103:289;106:106;95:88;104:53;110:51;121:37,40:19159;49:466;51:293;53:109;47:89;52:61;55:52;60:40
23,0,20480,post,94,20480,100.0,47,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,94:20480,47:20480
23,1,20480,post,78,15647,76.4013671875,39,15648,76.40625,6,20474,0.029296875,99.970703125,0.0048828125,0.0244140625,84.4921875,15.478515625,78:15647;112:1869;92:1181;102:750;67:385;114:105;94:68;122:66,39:15648;56:1870;46:1181;51:757;33:392;60:120;57:111;47:71
23,2,20480,post,92,20215,98.7060546875,46,20215,98.7060546875,0,20480,0.0,100.0,0.0,0.0,99.9951171875,0.0048828125,92:20215;76:264;99:1,46:20215;38:264;49:1
23,3,20480,post,79,15331,74.8583984375,39,15345,74.9267578125,19,20461,0.0927734375,99.9072265625,0.0,0.0927734375,75.87890625,24.0283203125,79:15331;107:4427;66:167;111:145;120:75;96:62;112:55;113:26,39:15345;53:4430;33:167;55:147;56:81;60:81;48:62;58:32
23,4,20480,post,89,20480,100.0,44,20480,100.0,0,20480,0.0,100.0,0.0,0.0,100.0,0.0,89:20480,44:20480
23,5,20480,post,127,13950,68.115234375,63,14022,68.466796875,1,20479,0.0048828125,99.9951171875,0.0,0.0048828125,19.326171875,80.6689453125,127:13950;108:2357;75:2146;66:1021;74:739;126:72;124:70;67:50,63:14022;37:2885;54:2364;33:1071;62:70;48:16;59:11;57:8
23,6,20480,post,87,20389,99.5556640625,43,20389,99.5556640625,0,20480,0.0,100.0,0.0,0.0,99.5703125,0.4296875,87:20389;102:42;122:38;115:6;72:2;90:1;108:1;98:1,43:20389;51:42;61:38;57:6;36:2;45:1;54:1;49:1
