method,layer,head,mean_logit_mse,sink_mse,local_mse,long_mse,top1_match_rate,mean_attention_kl,mean_attention_l1,mean_margin_drop,query_count,logit_count
fireq,13,6,744.7283436290435,135.37359062854776,1014.6014930199361,745.6737344995374,0.03125,8.705609269440174,1.4059112146496773,-7.347927212715149,32,295552
fireq,13,5,570.3650086190988,79.53237990188599,762.0199236401513,572.0503323592727,0.03125,7.685188494622707,1.461535383015871,-4.762603759765625,32,295552
fireq,23,22,559.995253381977,197.99944022873683,556.3536528728607,557.0465015127962,0.96875,0.2162644392807591,0.06313357331828229,-0.11096340417861938,32,295552
fireq,13,4,499.42702888234356,46.09682141135691,426.7028053519652,499.9252793196698,0.0625,7.369164325296879,1.4804553166031837,-3.693179488182068,32,295552
fireq,13,7,495.3645162812028,43.60047604699571,404.1898519606029,496.8417763596819,0.0625,9.475258022546768,1.604713817127049,-4.080120205879211,32,295552
fireq,10,18,355.98743881918136,54.47728227810493,358.9729683206447,354.83252209913957,0.9375,1.7297930078718973,0.22142963848679048,0.5397608280181885,32,295552
fireq,9,28,135.7842680796103,41.778643887042996,135.26945899118888,135.96044919236311,0.5,4.332104726672386,0.9018814791238583,-3.146338641643524,32,295552
fireq,10,16,132.00010895347023,24.53040259567564,128.3387782613803,132.13495669170828,0.875,0.026887880378836826,0.026416989904532784,0.04964005947113037,32,295552
fireq,9,30,116.48443982395779,34.75949098306894,111.90357669280782,116.86227963407121,0.53125,1.9502400089659702,0.777349551537327,-1.1988272070884705,32,295552
fireq,9,29,93.9767970325096,28.91835271545095,91.93074180429161,94.11939977683338,0.65625,1.3258523336212988,0.4916321561818222,-1.015317678451538,32,295552
fireq,24,12,62.59441942331087,15.683213293075562,58.65568215765839,62.94809304966806,0.96875,0.36633598938897194,0.36428523747053987,0.010523349046707153,32,295552
fireq,10,17,62.18155354119462,11.75408396363238,57.03527184588328,62.54521642652903,1.0,0.003724232385695192,0.00996235310958582,-0.0013289451599121094,32,295552
fireq,24,13,41.663363111852426,16.127568455849964,59.92572544116529,41.069969331658264,0.9375,0.5693396352539226,0.41366359986676926,-0.5818905532360077,32,295552
fireq,14,12,35.09710202909281,3.815790000513196,26.107959217437894,35.38034785938779,0.84375,0.1748736276551952,0.2191020089191511,0.1990135908126831,32,295552
fireq,14,13,31.905461937151564,5.16209841817913,20.855808368921927,32.223882123652324,0.8125,0.280380766152933,0.23030914438217354,-0.6108218431472778,32,295552
fireq,23,23,29.033511097579236,14.806179444781396,22.3361519985851,29.09132670362621,0.9375,0.0650769754136249,0.0558507677178568,-0.12470179796218872,32,295552
fireq,23,21,24.990538647578642,0.19269458315940574,16.2543911388628,25.051183769026274,1.0,1.1884755135582736e-06,0.0005693421308023972,-0.0009353160858154297,32,295552
fireq,14,20,23.74130667473825,2.983039350874722,18.159687268563378,23.781221527351533,0.84375,0.19244928742227785,0.09985689564200584,-0.0038573145866394043,32,295552
fireq,14,31,22.98651710285939,3.669044538206963,18.5952237810509,23.044326121142674,0.9375,0.018214074722962437,0.013151063776149385,0.10392731428146362,32,295552
fireq,14,22,22.44227238869517,2.053396052916651,18.11927855221784,22.63794300786254,0.78125,0.3235135072023354,0.15205673731543357,-0.22374635934829712,32,295552
