method,global_mean_logit_mse,global_p99_logit_se,sink_logit_mse,local_logit_mse,long_logit_mse,top1_match_rate,top5_jaccard,top10_recall,mean_attention_kl,p99_attention_kl,mean_attention_l1,mean_margin_drop,p99_margin_drop,query_heads_evaluated,logit_count_evaluated
fireq,5.969490113931407,59.029876708984375,1.2542415072612154,5.975426453898673,5.972009901340386,0.9385986328125,0.7909472026522965,0.9662841796876256,0.06841377168893814,0.9925609230995178,0.05307408422231674,-0.03413357213139534,1.7680100202560425,32768,302645248
ours,5.518502709045226,45.69308853149414,1.8545204245375873,5.007455197629026,5.518910185629136,0.8531494140625,0.7572019062345806,0.941937255859524,0.06705619394779205,1.2660003900527954,0.09442316740751266,-0.00961360428482294,2.8827109336853027,32768,302645248
