layer,head,pair,dim0,dim1,source,n_tokens_used,shape_label,orientation_label,r_mean,r_median,q99,q99_5,q99_9,r_max,ratio_max_q99,ratio_max_q99_5,ratio_max_q99_9,clip_tau,clip_reduction_frac,clip_fraction_at_tau,tail_label,shape_aware_action
13,0,41,82,83,raw_post,20480,isotropic_scatter,already_diagonal,1.7150588411886438,1.5938611125565942,4.393615569539269,4.6345515123743315,5.560514096455064,9.570933782528028,2.178373057689176,2.065126206273352,1.721231817149728,5.560514096455064,0.4190207326890175,0.001025390625,clip_recommended,clip_recommended
22,4,50,100,101,raw_post,20480,isotropic_scatter,axis_like,1.2783402753596502,1.193996368671741,3.2292389606921477,3.4702963950960974,3.9723158885170715,6.8353954574424,2.1167202367635616,1.9696863550622217,1.7207582803778882,3.9723158885170715,0.4188608525653038,0.001025390625,clip_recommended,clip_recommended
22,6,40,80,81,raw_post,20480,isotropic_scatter,axis_like,1.6241939459345232,1.5307810623061326,3.9728826814971567,4.277336328706149,4.915288823195677,8.448014852151505,2.1264194111485626,1.975064433314493,1.7187219624378094,4.915288823195677,0.4181723269646156,0.001025390625,clip_recommended,clip_recommended
11,0,52,104,105,raw_post,20480,isotropic_scatter,intermediate,1.4134841255656658,1.303330612492829,3.6478852788983995,4.0625161187063705,4.839862989693205,8.314545498902675,2.2792782292247766,2.0466492331236044,1.7179299324400352,4.839862989693205,0.4179040826306196,0.001025390625,clip_recommended,clip_recommended
2,2,60,120,121,raw_post,20480,isotropic_scatter,axis_like,1.5661801268239617,1.4606916881920675,3.887294556974929,4.2947915815822135,4.872057987850802,8.34827085609069,2.14757866524714,1.9438128015085572,1.7134998961236378,4.872057987850802,0.4163991475796128,0.001025390625,clip_recommended,clip_recommended
6,6,59,118,119,raw_post,20480,isotropic_scatter,intermediate,2.2987375565915986,2.2516232282664346,4.813742905374982,5.151105062054453,5.830833425002951,9.928914274786113,2.0626183138487884,1.9275309191278833,1.7028293472096723,5.830833425002951,0.41274209207244283,0.001025390625,clip_recommended,clip_recommended
16,7,47,94,95,raw_post,20480,isotropic_scatter,already_diagonal,0.9850097985394164,0.9030746192079687,2.735614675107546,3.0106384925437966,3.700605573881803,6.293592781020351,2.300613766364201,2.090451177252659,1.7006926718803477,3.700605573881803,0.4120042871153413,0.001025390625,clip_recommended,clip_recommended
29,3,58,116,117,raw_post,20480,compact_cluster,intermediate,1.404176882762307,1.3388488716131253,3.2603121693320616,3.4840911830309165,3.9634135655554323,6.73789181625716,2.0666400842338812,1.9339022609608236,1.7000223935280678,3.9634135655554323,0.41177245440591326,0.001025390625,clip_recommended,clip_recommended
15,1,62,124,125,raw_post,20480,isotropic_scatter,already_diagonal,1.9336172606307318,1.835397407511136,4.625435057898772,5.049259624666465,5.975425533069115,9.994845186764673,2.1608443447274555,1.9794674724068866,1.6726583121907124,5.975425533069115,0.4021492658053508,0.001025390625,clip_recommended,clip_recommended
3,3,40,80,81,raw_post,20480,isotropic_scatter,axis_like,1.2734436101886308,1.0888570620792186,4.129502614374538,4.56801149342647,5.344906463179319,8.939024326184969,2.164673366489414,1.956874307135291,1.6724379346514804,5.344906463179319,0.40207048687376845,0.001025390625,clip_recommended,clip_recommended
2,1,47,94,95,raw_post,20480,isotropic_scatter,axis_like,1.0725911111449196,1.0309875030222573,2.48439687957888,2.715321757219922,3.0007846286421156,4.998635840081915,2.0120118010006576,1.8409000063402285,1.6657762747684584,3.0007846286421156,0.3996792875808012,0.001025390625,clip_recommended,clip_recommended
2,0,53,106,107,raw_post,20480,isotropic_scatter,already_diagonal,1.8103209077373268,1.7499416475355942,4.068768188760071,4.523926046483479,5.151625134987527,8.570441031156115,2.106396981482471,1.8944697466524807,1.6636383289905012,5.151625134987527,0.3989078139316483,0.001025390625,clip_recommended,clip_recommended
