layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,shape_source,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg,orig_suggested_alpha_rad,orig_suggested_alpha_deg,override_applied,override_priority,alpha_source,best_global_alpha_deg,refined_best_alpha_deg,refined_best_gap,refine_delta_deg,gap_improvement_vs_coarse,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent,bucket_best_alpha_std_deg,bucket_best_alpha_range_deg,global_gap_reduction_pct
0,0,43,86,87,1.5179196511633375,0.4366541069461581,0.10028906363528321,0.5648369193077087,0.4113388032368955,1.8510664690875214,1.0475919669910698,1.0903627504292626,0.42755690073407493,1.519032798295771,0.43063990157083515,0.09962921246139884,0.5585042834281921,0.409983356128974,2.0022425007521503,1.1954914969050958,1.0865944665185814,0.4324383317771896,0.15117603166462887,0.147899529914026,isotropic_scatter,post,post_mean,intermediate,2.0022425007521503,114.72004485481777,0.35395198944019457,20.27995514518223,0.43144617395725376,24.720044854817772,2.356194490192345,135.0,0.2617993878,15.0000000000,0.35395198944019457,20.27995514518223,1,medium,refined_best,15.0,15.0,0.0008768843254074454,0.0,0.0,0.2759609573861508,1,1,0,1,0,27.424257278442383,85.0,99.68224333228524
0,0,44,88,89,0.15061594937327613,0.6530325232448506,0.8745289024197602,0.7726897597312927,1.0245914249132506,0.8621116612733545,1.610024441618783,0.12448653141703918,0.026129417956236953,0.15579884186549095,0.6206377810600675,0.870211271031044,0.7016782164573669,1.0220590187107967,0.9855397711168071,1.759689474435644,0.12624674468661912,0.029552097178871823,0.12342810984345265,0.14966503281686094,isotropic_scatter,post,post_mean,already_diagonal,0.9855397711168071,56.4672694272822,0.20014160771935885,11.467269427282199,0.5852565556780894,33.5327305727178,0.7853981633974483,45.0,-0.2967059728,-17.0000000000,-0.20014160771935885,-11.467269427282199,1,medium,refined_best,-15.0,-17.0,0.00033205904765054584,-2.0,0.0455594792147167,0.3292188778655367,1,1,0,1,0,5.005856037139893,25.0,86.06047732401343
0,0,45,90,91,0.20998638495447375,0.7738238524964859,0.858294834298392,0.6588473320007324,1.1277711401110397,2.6457482805092893,2.0649935417103227,0.1862394291662643,0.02374695578820945,0.2148312489460274,0.7421367765080318,0.8550253664666667,0.5805642008781433,1.1256210768413202,2.7464515699776815,2.150489187651616,0.1871327097663844,0.027698539179642986,0.10070328946839213,0.0854956459412932,elongated,post,post_mean,intermediate,2.7464515699776815,157.36008359680002,0.3902570797853366,22.36008359680002,0.39514108361211164,22.639916403199976,2.356194490192345,135.0,0.1919862177,11.0000000000,-0.3902570797853366,-22.36008359680002,1,high,refined_best,10.0,11.0,0.00308322929777205,1.0,0.019779635360464454,0.2511864258929912,3,1,1,1,1,4.594493865966797,20.0,90.89804946195122
0,0,48,96,97,0.4227566154222003,0.49144389006640654,0.7240311450341427,0.6694605946540833,1.0531586386893637,-0.6922138077253286,2.8249706514543957,0.3152588855285428,0.10749772989365747,0.423538648037706,0.4886979319525621,0.7235206415702451,0.6509941220283508,1.0527872807391303,-0.6375830323008448,2.881382877371253,0.3152605547181029,0.10827809331960317,0.0546307754244838,0.05641222591685713,isotropic_scatter,post,post_mean,already_diagonal,-0.6375830323008448,-36.53081683999165,0.1478151310966035,8.469183160008352,0.6375830323008448,36.53081683999165,-0.7853981633974483,-45.0,-0.4363323130,-25.0000000000,-0.1478151310966035,-8.469183160008352,1,medium,refined_best,-25.0,-25.0,0.006286061834543943,0.0,0.0,0.2522423993775552,1,1,0,1,0,13.507954597473145,50.0,97.50792801886848
0,0,52,104,105,0.22321938848975853,0.7666758895451568,0.893524246390162,0.7920715808868408,1.3686543014684864,2.4641559726287947,1.908070562894815,0.19717815586231838,0.02604123262744016,0.22362789759861476,0.7642680375186529,0.8933293911200717,0.777581512928009,1.3685050828784324,2.488139133856248,1.93050549212065,0.1972697760157473,0.02635812158286747,0.023983161227453476,0.02243492922583501,elongated,post,post_mean,already_diagonal,2.488139133856248,142.55987121129922,0.13194464366390335,7.559871211299221,0.6534535197335449,37.440128788700775,2.356194490192345,135.0,0.2443460953,14.0000000000,-0.13194464366390335,-7.559871211299221,1,high,refined_best,15.0,14.0,0.009379483759403229,-1.0,0.024707522243261337,0.2784311641986519,3,1,1,1,1,3.5438106060028076,20.0,87.75747516751225
0,0,53,106,107,0.21781236804411333,0.726618128703802,0.9187178724560535,0.8509434461593628,1.5690429055453314,-2.2972294101909347,1.4037949522612028,0.1880393916607987,0.02977297638331464,0.21815618091761318,0.7239857621392298,0.9185895736242645,0.8456119298934937,1.568933377441849,-2.277718143667466,1.4243982129107058,0.18804907491267953,0.03010710600493366,0.019511266523468684,0.02060326064950302,elongated,post,post_mean,already_diagonal,-2.277718143667466,-130.5036365525183,0.07847634652487878,4.4963634474816985,0.7069218168725695,40.5036365525183,-2.356194490192345,-135.0,-0.2617993878,-15.0000000000,-0.07847634652487878,-4.4963634474816985,1,high,refined_best,-15.0,-15.0,0.013773194514214993,0.0,0.0,0.3288740272038223,3,1,1,1,1,2.7492897510528564,15.0,95.81201505666287
0,0,54,108,109,0.43034939147754087,0.36967188850380267,0.8327514906575961,0.7487105131149292,1.4638183200281898,-2.361886005730169,1.478310135559917,0.29471873187093767,0.1356306596066032,0.4306888932243935,0.36911901523907165,0.8326195563452103,0.7476286888122559,1.4637023913840692,-2.3459582176232794,1.49538235860247,0.2948321766830782,0.1358567165413153,0.01592778810688955,0.01707222304255285,isotropic_scatter,post,post_mean,already_diagonal,-2.3459582176232794,-134.413504783847,0.010236272569065452,0.5864952161529869,0.7751618908283828,44.41350478384701,-2.356194490192345,-135.0,-0.4014257280,-23.0000000000,-0.010236272569065452,-0.5864952161529869,1,high,refined_best,-25.0,-23.0,0.008037976920604706,2.0,0.04438027739524841,0.31842772130106395,2,1,0,1,1,5.809138774871826,20.0,83.5384131513391
0,0,55,110,111,0.3925987665315477,0.5923619058880978,0.7976714954450949,0.7626017332077026,1.2441076657905052,2.3760985723050734,2.6935089054374046,0.31257966006204196,0.08001910646950569,0.39269341407515346,0.5918938174544276,0.7976227297186199,0.7597978115081787,1.2440696713661223,2.389036055758406,2.706425154340232,0.3125631090109501,0.08013030506420336,0.012937483453332455,0.01291624890282739,isotropic_scatter,post,post_mean,already_diagonal,2.389036055758406,136.88168309953747,0.032841565566060986,1.881683099537467,0.7525565978313873,43.11831690046253,2.356194490192345,135.0,-0.2443460953,-14.0000000000,-0.032841565566060986,-1.881683099537467,1,high,refined_best,-15.0,-14.0,0.006636925972998142,1.0,0.029621425084769726,0.25741923927829713,2,1,0,1,1,3.7578043937683105,15.0,85.91466874426052
0,0,56,112,113,1.0081635430078577,0.5267901741642171,0.5818058091879049,0.6430417895317078,1.184310345465858,0.7649514812829082,1.1932484362282243,0.769627095707754,0.23853644730010362,1.0081546099660517,0.5267382691398207,0.5818095431942749,0.6413411498069763,1.184314186258272,0.7755116410559042,1.2036578967303508,0.7695941121227138,0.23856049784333794,0.010560159772995958,0.010409460502126544,isotropic_scatter,post,post_mean,already_diagonal,0.7755116410559042,44.43354399576773,0.009886522341544081,0.566456004232272,0.7755116410559042,44.43354399576773,0.7853981633974483,45.0,-0.4363323130,-25.0000000000,0.009886522341544081,0.566456004232272,1,medium,refined_best,-25.0,-25.0,0.003164398018270731,0.0,0.0,0.29573202760314227,1,1,0,1,0,8.776522636413574,40.0,98.92997788875877
0,0,57,114,115,0.8713494250277882,0.8880575982271214,0.6987537246940494,0.6984066367149353,1.4216654184988082,2.438228105882243,3.0994256828162086,0.8225789513177185,0.04877047371006976,0.8713953008281541,0.8879600023726574,0.6987378839280096,0.693935751914978,1.4216493500379825,2.4468221366102862,3.1080699997088153,0.8225797371099661,0.048815563718187925,0.008594030728043212,0.008644316892606696,elongated,post,post_mean,already_diagonal,2.4468221366102862,140.19258164695196,0.09062764641794141,5.192581646951956,0.6947705169795069,39.80741835304804,2.356194490192345,135.0,-0.3839724354,-22.0000000000,-0.09062764641794141,-5.192581646951956,1,high,refined_best,-20.0,-22.0,0.0019003915367648005,-2.0,0.05114095483440906,0.4617371836702009,3,1,1,1,1,3.096747398376465,15.0,88.5126543817665
0,0,59,118,119,0.8991950751170346,0.6318788960839246,0.5435281892309025,0.5870965123176575,1.0347394682993623,1.383522080981515,-2.79867691592053,0.7336887332733599,0.16550634184367458,0.8992987684301941,0.6318374258674463,0.5434755629336118,0.5880122184753418,1.0346893883720625,1.3892012046608577,-2.793132076355878,0.7337546936807622,0.16554407474943192,0.005679123679342757,0.0055448395646520154,isotropic_scatter,post,post_mean,axis_like,1.3892012046608577,79.59536592155686,0.6038030412634094,34.595365921556855,0.18159512213403883,10.404634078443145,0.7853981633974483,45.0,0.4537856055,26.0000000000,-0.6038030412634094,-34.595365921556855,1,medium,refined_best,25.0,26.0,0.002701480407267809,1.0,0.007029013242572546,0.2954570674378331,1,1,0,1,0,34.02549743652344,85.0,96.7066302353041
0,0,60,120,121,0.6587628631641022,0.6254726629295215,0.6651874615125476,0.6581820249557495,1.1440255519498932,-2.1171531705465543,2.904849955211497,0.5354005127135273,0.12336235045057485,0.6587838229803678,0.6256242685577099,0.6651768122913491,0.6587985754013062,1.1440164003175812,-2.1125133380622954,2.909587200920937,0.5354674851853689,0.12331633779499881,0.004639832484258921,0.004737245709439897,isotropic_scatter,post,post_mean,already_diagonal,-2.1125133380622954,-121.03809843606281,0.24368115213004948,13.961901563937186,0.5417170112673988,31.038098436062814,-2.356194490192345,-135.0,0.6283185307,36.0000000000,-0.24368115213004948,-13.961901563937186,1,medium,refined_best,35.0,36.0,0.006285906303673983,1.0,0.01446458650752902,0.2716996304823325,1,1,0,1,0,16.970102310180664,85.0,92.36270867823507
0,0,62,124,125,0.6775403353119513,0.8143239001695547,0.7509525637160726,0.7023530602455139,1.4293309302262747,-2.3019412787484894,-3.088327168008848,0.6146388118430909,0.06290152346886047,0.6775492036203831,0.8143719947539254,0.7509492973156809,0.7030450105667114,1.4293278026495544,-2.2988621334349615,-3.0852528404023416,0.6146631500587312,0.06288605356165193,0.003079145313527931,0.0030743276065066105,elongated,post,post_mean,already_diagonal,-2.2988621334349615,-131.7150979282636,0.05733235675738335,3.2849020717364117,0.7280658066400649,41.71509792826359,-2.356194490192345,-135.0,0.5235987756,30.0000000000,-0.05733235675738335,-3.2849020717364117,1,high,refined_best,30.0,30.0,0.006343241315335035,0.0,0.0,0.4672194711271164,2,1,1,1,0,7.705517292022705,25.0,98.64234226173998
