layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
0,4,42,84,85,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.05897776782512665,0.05897776782512665,37.5,0.6544984694978736,7.22309123375453e-05,0.5487631559371948,2.5,0.0589055369127891,99.87752857559528,0.5486909250248573,99.98683750693608,0.5487631667024526,2,1,1,1,0
0,7,53,106,107,high,5.0,0.5,21,15.0,25.0,20.0,0.3490658503988659,0.056607916951179504,0.056607916951179504,21.5,0.3752457891787809,0.007852081209421158,0.5542809367179871,1.5,0.04875583574175835,86.12900521283437,0.5464288555085659,98.58337520032441,0.5542809631508819,2,1,1,1,0
0,3,55,110,111,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.06854874640703201,0.06854874640703201,37.5,0.6544984694978736,0.0005553728551603854,0.538382351398468,2.5,0.06799337355187163,99.18981325805338,0.5378269785433076,99.89684415662627,0.5383823688334425,2,1,1,1,0
0,4,62,124,125,high,5.0,0.5,21,-45.0,-35.0,-40.0,-0.6981317007977318,0.016785699874162674,0.016785699874162674,-39.5,-0.6894050545377601,0.0031771203503012657,0.534613847732544,0.5,0.013608579523861408,81.07245825840342,0.5314367273822427,99.40571678721447,0.5346138435392203,3,1,1,1,1
0,5,61,122,123,high,5.0,0.5,21,-45.0,44.5,-45.0,-0.7853981633974483,0.04682547599077225,0.04682547599077225,-43.0,-0.7504915783575618,0.005252230446785688,0.533920407295227,2.0,0.04157324554398656,88.78339122955049,0.5286681768484414,99.01628962387993,0.5339203694073811,2,1,1,1,0
13,6,54,108,109,high,5.0,0.5,21,-40.0,-30.0,-35.0,-0.6108652381980153,0.022402573376893997,0.022402573376893997,-36.5,-0.6370451769779303,0.00256528751924634,0.5230745673179626,-1.5,0.019837285857647657,88.54913908286905,0.5205092797987163,99.50957517732132,0.523074568517743,2,1,1,1,0
0,2,48,96,97,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.04965590313076973,0.04965590313076973,33.0,0.5759586531581288,0.0014681419124826789,0.5163784623146057,-2.0,0.04818776121828705,97.0433688244149,0.514910320402123,99.71568490562099,0.5163784534918506,2,1,1,1,0
1,7,48,96,97,high,5.0,0.5,21,-45.0,44.5,-45.0,-0.7853981633974483,0.027572600170969963,0.027572600170969963,-43.5,-0.7592182246175333,0.0032689201179891825,0.5076221823692322,1.5,0.02430368005298078,88.14431683004314,0.504353262251243,99.35603284656867,0.5076221655751266,2,1,1,1,0
0,4,45,90,91,high,5.0,0.5,21,-35.0,-25.0,-30.0,-0.5235987755982988,0.05578587204217911,0.05578587204217911,-27.5,-0.4799655442984406,0.0004673694202210754,0.49991515278816223,2.5,0.05531850262195803,99.16220827404526,0.49944778336794116,99.90651025126675,0.4999151546300871,3,1,1,1,1
0,3,61,122,123,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.0012643812224268913,0.0012643812224268913,35.0,0.6108652381980153,0.0012643812224268913,0.49740102887153625,0.0,0.0,0.0,0.49613664764910936,99.74580245133481,0.4974010334572403,2,1,1,1,0
