method,global_mean_logit_mse,global_p99_logit_se,sink_logit_mse,local_logit_mse,long_logit_mse,top1_match_rate,top5_jaccard,top10_recall,mean_attention_kl,p99_attention_kl,mean_attention_l1,mean_margin_drop,p99_margin_drop,query_heads_evaluated,logit_count_evaluated
fireq,6.715708696491965,57.491825103759766,1.5285789450773133,6.7415930893928495,6.724282892648671,0.9388427734375,0.7680828760540968,0.9653564453124653,0.07459980994462967,0.9777761697769165,0.05236562713980675,-0.01095777191221714,1.8784294128417969,8192,77193216
ours,5.5596226746072865,45.806724548339844,1.914532134915998,4.767224936611991,5.567313611290638,0.86279296875,0.7375812833271623,0.9441894531249597,0.06338019669055939,1.3130637407302856,0.0910673514008522,-0.014223280362784863,2.968454599380493,8192,77193216
