method,layer,head,mean_logit_mse,sink_mse,local_mse,long_mse,top1_match_rate,mean_attention_kl,mean_attention_l1,mean_margin_drop,query_count,logit_count
fireq,23,22,1102.031072575083,416.02833728321593,928.8070164942479,1100.777955346692,1.0,2.132578686087072e-06,0.0011874296324094757,-0.002012968063354492,8,75384
fireq,13,6,817.5716133397876,172.77898455866497,1739.9667916434153,813.6256253135276,0.125,10.624224990606308,1.3687051385641098,-5.8563551902771,8,75384
fireq,13,5,657.6131671651601,115.57873332911524,510.3375166002211,660.4088235396578,0.25,8.606540501117706,1.3158548027276993,-5.367242336273193,8,75384
fireq,13,4,596.7498217459943,52.33170713323966,430.6271239228301,599.6299297872192,0.125,8.721378862857819,1.4868250489234924,-0.9314126968383789,8,75384
fireq,13,7,521.2986061367379,45.61825286706799,402.24264348627446,523.557751144376,0.125,11.149955153465271,1.5186216533184052,-3.0817062854766846,8,75384
fireq,10,16,195.64272489307888,30.198135184345283,186.0388571854476,196.34405336932298,0.75,3.432053862564743,0.25186172877874924,0.6254534721374512,8,75384
fireq,9,28,142.36891023739247,42.57422173960969,134.4643429693285,142.68830826250473,0.625,3.4353947037948274,0.5065422137740825,-3.7540173530578613,8,75384
fireq,9,30,135.54723456536038,39.71443829659758,124.8246844951923,136.32061993130262,0.625,1.4629332028125646,0.7194085282244487,-0.7041478157043457,8,75384
fireq,10,17,115.22224657669557,32.14679569930778,181.31855921483302,111.85921426263516,0.875,2.6396680597738396,0.19920062956225593,0.3587491512298584,8,75384
fireq,9,29,112.38105421078832,34.04484693328552,102.63776506696429,112.87770308755086,0.625,0.5821527163166138,0.4142754930071533,-0.045415401458740234,8,75384
fireq,24,12,54.82741106206427,16.278083102456456,52.8254470196399,55.16277186890907,0.875,0.48001443850807846,0.4411462175194174,-0.3932427167892456,8,75384
fireq,14,12,38.270984454636235,6.254147096248023,33.5420896425352,38.26713986665494,0.75,0.48281040163055877,0.4324390372057678,-0.46601104736328125,8,75384
fireq,14,13,33.18755640393756,4.822362015743089,34.9630360362294,33.418785636556976,0.875,0.2898626331361811,0.23646530469011395,0.11831188201904297,8,75384
fireq,24,13,32.36393415712373,16.576230234776418,74.59573527325641,30.482717113559723,1.0,0.2911929728040832,0.23720726437659323,-0.6872472763061523,8,75384
fireq,23,23,32.024392195294986,0.2515885535711214,55.156862305022855,31.98762033801767,0.875,0.00018673191675588896,0.002771506318822503,-0.0018625259399414062,8,75384
fireq,14,22,24.93468498580339,2.3160086390607515,16.751250617058723,25.03150406083656,0.75,0.19495089969669266,0.21815707614990743,0.08123946189880371,8,75384
fireq,23,21,24.74454781104868,0.244458029674896,40.872344450898225,24.708713399454286,1.0,3.062229467332145e-06,0.0003824694285867736,4.4345855712890625e-05,8,75384
fireq,14,20,24.368827657181093,2.4882540266382795,13.51144781427069,24.476262607513863,0.625,0.03494710012455471,0.03570148556900676,0.04473590850830078,8,75384
fireq,14,31,20.052064989776497,1.7687335186781732,17.58093506530091,19.9437949933985,0.75,0.25075467866258805,0.21084591199905844,0.27416372299194336,8,75384
fireq,16,1,18.575240115753413,3.494296662278618,12.091959473326966,18.651810889033847,0.875,0.00038157225111490334,0.0015793703933013603,0.00029969215393066406,8,75384
fireq,14,23,17.780570199580303,0.35328801304647894,6.920034924182263,17.920619065835584,0.875,0.06769127130610286,0.14950480283005163,-0.18892955780029297,8,75384
fireq,8,29,16.643941042783897,3.833832824571675,13.454143918215573,16.789773326023493,0.75,0.09705133843272051,0.24450987322052242,-0.24129819869995117,8,75384
fireq,14,29,16.400035101548404,1.561612484920143,21.214300470037774,16.387463459873683,1.0,0.25044989602974965,0.21223915675727767,-0.6146993637084961,8,75384
fireq,14,30,16.29860072169259,2.233334495662097,14.543252261654361,16.276306387081267,1.0,0.0001275629037991166,0.0008785465990968078,0.0005235671997070312,8,75384
fireq,14,21,15.805407953821689,0.705824650034754,8.710386238517343,15.939144074348734,0.875,0.05906859807373621,0.12829807238813373,-0.4617636203765869,8,75384
fireq,14,3,15.13307235598875,1.7975688666538816,9.837517706902473,15.12712044181928,0.875,0.04328841730421118,0.08962549275020137,-0.23833560943603516,8,75384
fireq,10,31,15.116533349297827,1.4644586241870379,26.096846829927884,14.99491497303662,0.875,0.12879438862455572,0.16820830023789313,-0.19223928451538086,8,75384
fireq,14,5,14.58249270247127,2.0358205267592315,9.311935592483689,14.441876616354909,1.0,0.02359791105891418,0.05080799866118468,0.9275064468383789,8,75384
fireq,13,1,14.13734549637025,1.2957732699297626,9.435853459284855,14.305066434391286,1.0,0.031179421193883172,0.08172380992618855,0.4206852912902832,8,75384
fireq,14,2,13.657216963280122,1.7899845388385764,7.1150620680588945,13.630082917727725,0.75,0.08489507315833578,0.16421545430785045,-0.23089313507080078,8,75384
fireq,15,3,13.37300530399258,2.375774375347695,8.879371659834307,13.516027877617956,0.875,0.0003203686289907637,0.002594600671727676,0.0017430782318115234,8,75384
fireq,14,1,13.268990826862513,1.4414753826978823,8.23678971175309,13.22664135819753,1.0,0.020934964244473275,0.05365848484507296,0.09225749969482422,8,75384
