pair,bucket_center,post_dim0_q,post_dim1_q,post_ratio_minmax
32,127.5,2.9519083499908447,3.330381155014038,0.886357510625057
32,383.5,3.0525624752044678,3.850957155227661,0.7926763015424944
32,639.5,2.9523839950561523,3.7219491004943848,0.7932359941902453
32,895.5,3.5545761585235596,3.308267116546631,0.9307064946727048
32,1151.5,3.604376792907715,2.895932674407959,0.8034489291203538
32,1407.5,3.836275100708008,3.174987316131592,0.8276224287318781
32,1663.5,3.7251105308532715,2.9105327129364014,0.7813278797581656
32,1919.5,3.25595760345459,3.2366299629211426,0.994063915171088
32,2175.5,3.116328477859497,4.246758460998535,0.7338134500653373
32,2431.5,2.908215284347534,4.1918416023254395,0.6937798610363023
32,2687.5,3.1873362064361572,3.8559322357177734,0.8266058663872866
32,2943.5,3.068629026412964,3.626436710357666,0.8461829811198643
32,3199.5,3.4001007080078125,2.8202383518218994,0.8294572996557898
32,3455.5,3.3831470012664795,2.8502423763275146,0.8424825688214339
32,3711.5,3.6976964473724365,3.0948078632354736,0.8369556309671194
32,3967.5,3.442481279373169,3.2466328144073486,0.9431083427702818
32,4223.5,3.2838587760925293,3.514758348464966,0.9343057048364991
32,4479.5,2.687844753265381,3.3896126747131348,0.7929651589153487
32,4735.5,3.1638879776000977,3.763766288757324,0.8406175449976498
32,4991.5,3.31787371635437,2.9499080181121826,0.8890959301951664
32,5247.5,4.72961950302124,2.600611686706543,0.5498564282063905
32,5503.5,4.494193077087402,2.6621885299682617,0.5923618510163282
32,5759.5,3.9624695777893066,3.1969454288482666,0.8068063025058902
32,6015.5,3.826075315475464,3.198692798614502,0.8360245250992929
32,6271.5,2.5132532119750977,3.414767265319824,0.7359954622675313
32,6527.5,2.9091434478759766,4.376835346221924,0.664668240350221
32,6783.5,2.9160361289978027,4.118034362792969,0.7081135979205534
32,7039.5,3.549597978591919,3.334958791732788,0.939531409428998
32,7295.5,3.6794095039367676,2.8173534870147705,0.7657080528819518
32,7551.5,4.027268409729004,2.7200510501861572,0.6754084340678923
32,7807.5,4.186458110809326,2.699281692504883,0.6447650068527875
32,8063.5,3.4169163703918457,3.093128204345703,0.9052396573554385
32,8319.5,2.7460315227508545,3.817261219024658,0.7193721794738711
32,8575.5,2.565932035446167,4.156189441680908,0.6173761017034908
32,8831.5,2.872319459915161,3.802222728729248,0.7554316684849042
32,9087.5,2.7504982948303223,3.0954573154449463,0.8885595937978428
32,9343.5,3.0981786251068115,2.623974084854126,0.846940865058632
32,9599.5,3.6634140014648438,2.7486398220062256,0.7502946216035538
32,9855.5,3.431675910949707,3.1805307865142822,0.9268156052749396
32,10111.5,3.498948335647583,3.554581880569458,0.984348779465178
32,10367.5,2.684786558151245,3.651345729827881,0.7352868659407397
32,10623.5,2.7640607357025146,3.887073516845703,0.7110904189806796
32,10879.5,3.7480177879333496,3.9513490200042725,0.9485413130954696
32,11135.5,3.469383955001831,2.9546918869018555,0.851647417877188
32,11391.5,3.214343547821045,2.6733081340789795,0.8316808997878198
32,11647.5,3.633615016937256,2.7248177528381348,0.7498917029286336
32,11903.5,3.3631162643432617,3.2079310417175293,0.9538567178687661
32,12159.5,2.7859699726104736,2.803556442260742,0.9937270855741762
32,12415.5,3.3253233432769775,3.8957936763763428,0.853567621776627
32,12671.5,3.870992660522461,3.6626322269439697,0.9461739011537239
32,12927.5,3.4926297664642334,3.402498722076416,0.9741939311022189
32,13183.5,3.289799928665161,3.5286691188812256,0.932306152215315
32,13439.5,3.444781541824341,2.637289524078369,0.7655897745787597
32,13695.5,4.189359188079834,2.691084384918213,0.6423618181451886
32,13951.5,3.55130672454834,2.91845703125,0.8217980753608867
32,14207.5,3.285748243331909,3.04512619972229,0.9267679609665965
32,14463.5,2.7536795139312744,4.318796634674072,0.6376034221715761
32,14719.5,2.568161725997925,3.899799108505249,0.6585369283245653
32,14975.5,3.098504066467285,3.8206331729888916,0.8109922953014924
32,15231.5,3.094287872314453,3.198131799697876,0.9675298161904294
32,15487.5,3.482053518295288,2.6434929370880127,0.7591764236817905
32,15743.5,4.0774993896484375,2.837632894515991,0.6959247870692268
32,15999.5,3.3762075901031494,2.9866867065429688,0.8846276856014413
32,16255.5,3.421414613723755,3.4317612648010254,0.9969850318017764
32,16511.5,2.894075632095337,3.7766172885894775,0.7663142465717622
