pair,bucket_center,post_dim0_q,post_dim1_q,post_ratio_minmax
32,127.5,4.094310283660889,5.449111461639404,0.7513720929520289
32,383.5,4.441409587860107,5.7345380783081055,0.7745017170014996
32,639.5,4.603930473327637,5.438291549682617,0.846576619011227
32,895.5,5.234875202178955,4.533194065093994,0.8659602932285961
32,1151.5,4.795786380767822,5.374959468841553,0.8922460547970313
32,1407.5,4.968838214874268,5.156158447265625,0.9636705826038577
32,1663.5,4.917456150054932,4.67694616317749,0.9510905680623599
32,1919.5,4.950974464416504,5.00230598449707,0.9897384285888047
32,2175.5,4.75740385055542,5.4777398109436035,0.8684975947654408
32,2431.5,4.2343974113464355,5.644729137420654,0.7501506818591713
32,2687.5,4.678069114685059,6.254822731018066,0.7479139403082063
32,2943.5,4.745107650756836,5.34673547744751,0.887477540411652
32,3199.5,4.506326675415039,5.654324531555176,0.7969699387197379
32,3455.5,4.757928848266602,5.008693218231201,0.9499341726397138
32,3711.5,4.0341877937316895,5.093559265136719,0.7920174447255413
32,3967.5,5.13340425491333,4.9534101486206055,0.9649366974906667
32,4223.5,5.335713863372803,5.483469486236572,0.9730543548688227
32,4479.5,4.827815055847168,6.268407821655273,0.7701820291858908
32,4735.5,5.003785133361816,5.490175724029541,0.9114070996782712
32,4991.5,4.833858489990234,6.011512756347656,0.804100180089626
32,5247.5,4.259593486785889,4.470033645629883,0.952922019043474
32,5503.5,4.8272600173950195,5.981472492218018,0.8070353953270462
32,5759.5,5.199192047119141,4.76109504699707,0.9157374845645837
32,6015.5,4.884097576141357,4.475186347961426,0.9162770149848257
32,6196.5,4.373871803283691,5.308877944946289,0.8238787647109757
33,127.5,6.629781246185303,2.707808017730713,0.4084309748966082
33,383.5,6.590184211730957,2.5700669288635254,0.3899840803066838
33,639.5,7.341920375823975,1.8429043292999268,0.25101121163999274
33,895.5,7.183120250701904,1.8411586284637451,0.25631738912958263
33,1151.5,7.192381858825684,0.80466628074646,0.1118775805485166
33,1407.5,7.301600933074951,0.7949776649475098,0.10887717258641219
33,1663.5,7.132449626922607,1.2260911464691162,0.1719032324940695
33,1919.5,7.351134300231934,1.3495309352874756,0.1835813195855906
33,2175.5,6.762861728668213,2.642956495285034,0.39080445546910547
33,2431.5,6.518939971923828,2.640592098236084,0.4050646438851636
33,2687.5,7.219403266906738,1.7916712760925293,0.2481744279759839
33,2943.5,7.098343849182129,1.8523646593093872,0.2609573019659813
33,3199.5,7.226100444793701,0.8818575739860535,0.12203782395820678
33,3455.5,7.228764533996582,0.8204255700111389,0.1134945765839669
33,3711.5,7.167788982391357,1.237019658088684,0.17258036768766352
33,3967.5,7.204002857208252,1.2660236358642578,0.17573891362320707
33,4223.5,6.88578987121582,2.5597846508026123,0.371748876843178
33,4479.5,6.771278381347656,2.616621255874634,0.386429431565308
33,4735.5,7.000816822052002,1.863837718963623,0.2662314650331496
33,4991.5,6.891751289367676,1.7666585445404053,0.2563439204873712
33,5247.5,7.1732001304626465,0.8506911396980286,0.11859297443624536
33,5503.5,7.159668922424316,0.7128289341926575,0.09956171743641022
33,5759.5,7.21108865737915,1.323288917541504,0.18350750911755528
33,6015.5,7.076195240020752,1.3710330724716187,0.19375286096085698
33,6196.5,6.546485900878906,2.8022327423095703,0.4280514438950145
34,127.5,4.546200275421143,4.534092903137207,0.9973368150212402
34,383.5,4.631042003631592,4.650109767913818,0.9958995023270643
34,639.5,5.102469444274902,4.233473300933838,0.8296910637424592
34,895.5,4.323149681091309,4.977777004241943,0.8684900262521248
34,1151.5,4.83790397644043,3.8616859912872314,0.7982146834854157
34,1407.5,5.227264404296875,4.286465644836426,0.8200208203191135
34,1663.5,5.4836201667785645,3.8075623512268066,0.6943519491547163
34,1919.5,5.361604690551758,4.222752571105957,0.7875911811527824
34,2175.5,4.612598419189453,4.664649963378906,0.9888412754230012
34,2431.5,4.673548221588135,4.398236274719238,0.9410914504750009
34,2687.5,4.928023815155029,3.8107750415802,0.7732866529299267
34,2943.5,4.98353910446167,3.719223976135254,0.7463017542704745
34,3199.5,5.053982734680176,3.8836567401885986,0.7684349045237414
34,3455.5,4.810513496398926,4.303081035614014,0.8945159469639222
34,3711.5,5.285628318786621,4.3191423416137695,0.8171483277139093
34,3967.5,5.401082515716553,4.27922248840332,0.792289781900435
34,4223.5,4.625111103057861,4.019150257110596,0.8689845860034284
34,4479.5,5.486397743225098,4.442145824432373,0.809665290840019
34,4735.5,4.1258697509765625,3.673464059829712,0.8903490128257758
34,4991.5,5.233029842376709,4.240105152130127,0.8102581639787437
34,5247.5,4.562239170074463,3.7548201084136963,0.8230213209870827
34,5503.5,5.269699573516846,4.196585178375244,0.7963613712374431
34,5759.5,4.52920389175415,3.659057855606079,0.8078810190611521
34,6015.5,4.704477787017822,3.776719093322754,0.8027924169914773
34,6196.5,4.2673563957214355,3.69809627532959,0.86660122389529
